stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,0,19,0,0,0,3,1,0,0,0,0,0,1,0,0,15,0,0,2,0,0,2,0,3,15,0,0,0
 24-34,0,0,0,1.64,0,45.15,0,0,0,0.82,0,0,0.82,0,0.82,0.82,0,0,3.28,35.3,0.82,0,0,0,4.1,0,0.82,0,9.85,0,2.46,0
 36-46,0,0,0,0.81,0,82.98,0,0,0,0,0,0,0,0,0.81,0,1.61,0,1.61,26.59,0,0.81,0,0,1.61,0,0,0,4.03,0,0.81,0
 48-58,0,0,0,0.57,0,173.29,0.57,0,0,6.89,0,0,0,0.57,0.57,0,9.18,0,0.57,39.02,0,0,0,0,1.72,0,0,0,6.31,0,0.57,0
 60-70,0,0,0,0.98,0,300.35,0,0.98,1.96,67.73,0,0,0,0,0,0,24.54,0,0.98,34.35,0,0,0,0,2.94,0,0,0,7.85,0,0,0
 72-82,0,0,0.98,0.98,2.94,197.31,0.98,0.98,1.96,118.78,0,0,0.98,0,0,0,16.69,0.98,0.98,50.06,0,1.96,0,0,2.94,0,0,0,5.89,0,1.96,0
 84-94,0,0,0,6.37,1.06,130.63,0,1.06,0,94.52,1.06,2.12,1.06,0,0,0,20.18,0,1.06,16.99,0,0,0,0,6.37,0,0,0,3.19,0,1.06,1.06
 96-106,0,0,0,2.19,0,132.23,1.09,0,0,145.35,1.09,0,0,0,0,0,9.84,0,1.09,18.58,2.19,0,0,0,7.65,0,0,0,1.09,0,2.19,0
108-118,0,0,0,4.6,0.77,91.92,0,0.77,0.77,109.53,1.53,0.77,0.77,0,0.77,0.77,7.66,0,1.53,20.68,0,0,0,0.77,3.83,0,0,0,2.3,0.77,1.53,0
120,0,0,0,1.96,0,66.63,1.96,0,0,80.35,0,3.92,0,0,0,0,3.92,1.96,0,21.56,0,1.96,0,0,0,0,0,0,3.92,0,1.96,0
