stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0
 36-46,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,20.08,0,0,0,0,0,0,0,0,0,0.57,0,2.3,0,0,0,0,0,1.15,0
 60-70,0,0,0.98,245.38,0,0,0,0,0,0,0,0,0,0.98,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,321,0.98,0.98,1.96,0,0,0,0,0.98,0,0.98,0,5.89,0,0,0,0,0,0,0.98
 84-94,0,1.06,0,302.68,1.06,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,202.18,0,0,1.09,1.09,0,1.09,1.09,0,0,2.19,1.09,6.56,1.09,1.09,0,0,0,0,0
108-118,0,0.77,0.77,183.83,0,0,0.77,0,0.77,0,0,0,2.3,1.53,0,2.3,0,0,0,1.53,1.53,1.53,0
120,0,1.96,0,109.75,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,1.96,0,0
