stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,1,2,150,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,4,0,61,0
 24-34,0,1.64,14.78,0,0,0,0.82,9.85,0,0,0,0,0,1.64,0.82,14.78,0,0.82,0,0,0.82,0,0,0,1.64,0,191.26,0
 36-46,0,0.81,2.42,1.61,0,0,4.03,9.67,0,0,0,0,0,0.81,0.81,12.09,0,0,0,0,0,0,0,0,6.45,0,143.41,0
 48-58,0,0,0.57,1.15,0.57,0,5.16,16.07,0,0,0,0,0,2.87,0,7.46,0,0.57,0,0,0.57,0,0,0,4.59,0,109.6,0
 60-70,0,0,0,4.91,0,0,9.82,11.78,0,0,0,0,0.98,1.96,0,12.76,0,0,0,0,0,0,0,0,20.61,0,99.13,0
 72-82,0,0,0.98,4.91,0,0,6.87,12.76,0.98,0.98,0,0,0,6.87,0.98,8.83,0,1.96,0,0,0,0,0,0,3.93,0.98,235.6,0
 84-94,0,1.06,0,3.19,0,1.06,9.56,2.12,1.06,0,0,0,0,3.19,2.12,3.19,0,1.06,0,3.19,0,0,0,0,3.19,1.06,203.91,0
 96-106,0,2.19,1.09,8.74,0,0,5.46,19.67,0,0,0,0,0,8.74,0,7.65,0,0,0,3.28,2.19,2.19,0,0,1.09,0,255.73,1.09
108-118,0,0.77,0,5.36,0,0,7.66,3.06,0,0,0,0.77,0,1.53,0.77,13.02,1.53,0.77,0,1.53,0.77,2.3,0,0,0.77,0,186.13,0
120,0,0,1.96,1.96,0,0,3.92,13.72,1.96,0,1.96,0,0,1.96,3.92,3.92,0,0,0,0,3.92,0,0,0,0,0,182.26,0
