stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,5.75,0.82,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,1.15,1.15,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0.98,0,3.93,0.98,0,0,1.96,0.98,0,0
 72-82,0,9.82,0,0,0,0.98,0,0,4.91,0,12.76,0,0.98,0,4.91,0.98,0,1.96
 84-94,0,4.25,0,1.06,0,0,0,0,8.5,1.06,19.12,0,0,1.06,1.06,0,1.06,0
 96-106,0,8.74,0,1.09,1.09,1.09,0,0,20.76,0,25.14,0,1.09,0,14.21,0,1.09,0
108-118,0,0.77,0,0.77,0,0.77,0.77,0.77,29.11,0,58.21,0,1.53,0,9.19,0,0.77,0
120,0,1.96,0,0,0,1.96,1.96,0,31.36,0,52.91,0,0,0,5.88,1.96,1.96,0
