stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,25.18,0,0,25.18,0,0,9.44,0,0,0,0
 14-21,0,1,6,1,6,2,0,0,1,1,47,0,0,0,0,9,0,18,12,0,0
 24-34,0,0,0.82,0,9.85,0.82,0,0,5.75,2.46,44.33,0.82,0.82,0,0,0,0,0.82,10.67,0,0
 36-46,0,0,1.61,0,2.42,0,0,0,4.03,2.42,12.09,0,0,0,0.81,0,0,0,3.22,0,0
 48-58,0,0,0,0,2.87,0.57,0,0,5.16,1.15,10.33,1.15,0,0,0.57,0,0,0,2.87,0,0
 60-70,0,0,0.98,0,5.89,0,0.98,1.96,3.93,0.98,8.83,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,3.93,1.96,0,0,5.89,0.98,7.85,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,1.06,0,3.19,0,0,0,2.12,1.06,5.31,0,0,0,2.12,0,0,0,0,0,2.12
 96-106,0,0,4.37,0,2.19,7.65,0,0,4.37,1.09,6.56,2.19,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,2.3,0.77,3.06,3.06,0.77,0.77,7.66,4.6,6.13,0,0,0,0.77,0,0,0,0,0,0
120,0,0,7.84,0,3.92,5.88,0,3.92,11.76,1.96,3.92,0,0,0,5.88,0,0,0,0,0,0
