stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,65.72,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,37.76,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,7,0,0,1,1,0,2,2,0,0,1,0,0,0,1,0,4,27,1,0,2,0,10,3,19,2,0,66,12,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,5.75,0,3.28,0,1.64,0.82,0,2.46,0,0.82,0.82,4.1,0,14.78,48.43,0.82,2.46,0.82,0,45.97,0,0,0,0,18.06,18.88,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,6.45,0,0,1.61,0.81,0,0,0,0,0,0,3.22,0,1.61,49.95,0,1.61,1.61,0,39.48,0,0,0,0,0,16.92,0,0,0,0,0
 48-58,0,0,0.57,0,1.72,0,0,16.64,0,1.15,4.59,0.57,0,0,0,0,0.57,0,3.44,0,1.72,59.1,0,3.44,0.57,0,22.95,0.57,0,0,0.57,0,12.62,0,0,1.72,0,0
 60-70,0,0,0,0,1.96,0,0,39.26,0,0,4.91,0,0,0,0,0.98,0,0,5.89,0,0.98,92.26,0,3.93,1.96,0,21.59,0,0,0.98,0,0,12.76,0.98,0,0.98,0,0
 72-82,0,0,0.98,0,3.93,2.94,0,112.89,0.98,3.93,15.71,0.98,0,0.98,2.94,0.98,0.98,0,3.93,1.96,0.98,147.25,0,2.94,0.98,0,24.54,0,0,0,0,0,13.74,1.96,0.98,2.94,0,0
 84-94,0,0,1.06,0,4.25,2.12,0,65.85,0,0,4.25,0,0,1.06,4.25,0,0,0,7.43,1.06,2.12,67.97,0,2.12,5.31,0,81.78,0,0,0,0,0,10.62,0,0,1.06,0,0
 96-106,0,0,1.09,0,14.21,3.28,1.09,85.24,0,1.09,15.3,4.37,1.09,0,3.28,0,2.19,0,8.74,1.09,2.19,66.66,0,15.3,9.84,0,57.92,0,0,0,0,0,5.46,2.19,0,0,1.09,0
108-118,0,0,3.06,0,9.19,1.53,0,70.47,0.77,3.06,26.81,2.3,0,0,5.36,0.77,3.06,0.77,8.43,0.77,2.3,114.89,0,7.66,6.89,0,49.02,0,0,0,0,0,9.19,3.06,0,1.53,0,0
120,0,0,0,0,11.76,3.92,0,50.95,3.92,5.88,19.6,1.96,0,3.92,3.92,0,1.96,0,5.88,0,0,109.75,0,11.76,3.92,0,62.71,0,0,0,1.96,0,5.88,1.96,0,0,0,0
