stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,8,4,10,0,0,0,7,0,0,0,0,1,0,0,0,0,6,0,0,4,150,2,0,2,2,0,1,0,16,0,9,36,0,0
 24-34,0,0,3.28,0,20.52,0,0,0,1.64,0,0,0,0,0,0,0.82,1.64,0.82,13.13,0.82,0.82,9.03,145.29,0.82,1.64,1.64,0,0,0,0,0,0,1.64,32.01,0,3.28
 36-46,0,0,1.61,0,17.72,0,0.81,0,5.64,0,0,0,0,0,0,0,0,0,9.67,0,0,4.03,86.21,0,1.61,1.61,0,0,3.22,0,0,0.81,0,22.56,0,2.42
 48-58,0,0,1.72,0,33.28,0,0,0.57,7.46,0,0,0,0,0,0,0,0,0,12.62,0,1.15,2.87,56.81,0.57,0.57,0,0,0,2.87,0,0,0,0,13.77,0,0
 60-70,0,0,4.91,1.96,19.63,0.98,0,0,7.85,0.98,0,0,0,0,0,0.98,0,0,8.83,0,0,0,32.39,0,0,0,0,0,0,0,0,0.98,0,2.94,0.98,0.98
 72-82,0,0,3.93,0,26.5,0,0.98,1.96,15.71,0,0,0,0,0,0.98,0,0,0,21.6,0,0.98,2.94,43.19,0.98,0,0.98,0,0,0.98,0,0,0.98,0,4.91,0,0
 84-94,0,0,1.06,0,11.68,0,1.06,2.12,8.5,0,0,1.06,1.06,1.06,1.06,1.06,0,0,14.87,1.06,0,1.06,10.62,0,1.06,0,0,1.06,2.12,0,0,0,0,1.06,0,1.06
 96-106,0,0,1.09,0,6.56,0,0,1.09,2.19,1.09,0,1.09,0,0,0,0,1.09,0,8.74,0,0,2.19,15.3,0,2.19,0,0,0,3.28,1.09,0,0,0,1.09,0,1.09
108-118,0,0,3.83,0,9.19,0,0,0.77,3.06,0,0,0,0.77,0,0.77,0,0,0,9.19,0,0,3.06,25.28,0,2.3,0,0,0,2.3,0,0,0,0,0.77,0,0.77
120,0,0,1.96,1.96,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,11.76,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96
