stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,198,2,0,17,0,2,0,11,8,5,0,0,0,0,0,0,40,0,0,14,116,11,0,3,0,0,35,21,4,1,9,73,0,0,8,0,0
 24-34,0,0,0,2.46,160.89,1.64,0,62.39,0,9.03,0.82,52.53,0.82,7.39,0,0,0,6.57,3.28,0,95.22,0.82,0.82,36.12,209.32,28.73,1.64,4.93,0,0,252,0,10.67,0,3.28,147.75,0,0,26.27,0,0
 36-46,0,0,0,0,83.79,0.81,0,180.47,0,11.28,0.81,90.23,0,8.06,0,0,0,4.03,0.81,0,126.49,2.42,8.06,56.4,155.49,43.51,2.42,8.86,0,0.81,275.54,0,9.67,0,0,148.24,0,0.81,24.98,0,0
 48-58,0,0,0.57,0,48.2,1.15,0,161.24,1.15,12.62,4.59,125.09,1.15,4.59,0,0,0,4.59,1.15,1.72,157.8,1.15,4.02,42.46,112.47,20.66,1.15,6.31,0,1.72,173.86,0,4.02,0,0,142.3,0,1.15,16.64,0,0
 60-70,0,0,0,0,75.58,0,0,164.9,0,21.59,7.85,108.95,0.98,5.89,0,0.98,0.98,7.85,0,0,305.25,0,15.7,33.37,105.02,11.78,1.96,10.8,0,2.94,167.84,0,1.96,0,0,51.04,0.98,7.85,21.59,4.91,0.98
 72-82,0,0,1.96,0,109.95,0,0,145.29,0.98,21.6,11.78,140.38,5.89,8.83,0,0,0,7.85,0,0,457.45,2.94,27.49,35.34,119.76,10.8,2.94,18.65,0,4.91,121.73,0,10.8,0,0,26.5,6.87,8.83,26.5,18.65,0
 84-94,0,0,4.25,0,147.62,2.12,1.06,157.18,2.12,44.61,4.25,111.51,13.81,8.5,0,6.37,3.19,6.37,1.06,0,312.24,4.25,28.68,21.24,59.47,23.36,4.25,15.93,0,2.12,296.31,0,27.61,0,0,15.93,9.56,16.99,22.3,18.05,1.06
 96-106,0,0,4.37,0,203.27,2.19,0,107.1,1.09,28.41,3.28,87.43,17.49,8.74,2.19,3.28,1.09,21.86,0,0,278.68,6.56,25.14,27.32,93.98,16.39,9.84,25.14,0,7.65,244.8,0,29.51,1.09,0,19.67,26.23,12.02,21.86,39.34,1.09
108-118,0.77,0,2.3,0.77,215.24,0.77,0.77,104.17,0,54.38,3.83,58.98,19.92,3.83,0.77,7.66,2.3,16.85,0.77,0,278.81,3.83,22.21,21.45,101.87,12.26,4.6,16.09,0,6.13,225.19,0,16.85,0,0,6.89,31.4,9.96,22.98,22.21,0
120,0,0,3.92,0,203.82,0,1.96,92.11,0,60.75,3.92,68.59,21.56,1.96,1.96,1.96,1.96,11.76,0,0,221.46,7.84,17.64,17.64,96.03,27.44,0,5.88,0,5.88,127.39,1.96,17.64,0,0,9.8,17.64,3.92,23.52,13.72,0
