stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1,0,0,1,0,4,4,14,0,0,1,0,0
 24-34,0,0,0,4.93,0,0,8.21,0,0,0,1.64,0,0,0,0.82,0,0,0,1.64,4.93,0,0,0.82,87.01,0,2.46,0,0,0.82,0,0,0,0,0.82,45.97,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,37.87,0,0,0.81,0.81,0,0,0.81,0,0,0,0,0,6.45,0,0,1.61,159.52,0,0.81,5.64,0,0.81,0,0,0,0,0,48.34,0,0,1.61,0,0.81
 48-58,0.57,0,0,1.72,0,0,64.27,0.57,0,0,13.77,0,0,0.57,0,0,0,0,0.57,9.18,0,0,2.3,173.86,0,0.57,9.18,0,0.57,0.57,0,0,0,0,40.74,0,0,5.16,0,0.57
 60-70,0,0,0,2.94,0.98,0,124.65,0,0.98,1.96,26.5,0,0,3.93,0.98,1.96,0.98,0,0,26.5,0.98,0.98,0,231.64,0.98,1.96,5.89,0,0,0,0,0,0,0,35.33,0,0.98,1.96,0,0.98
 72-82,0,0,0,4.91,5.89,0,130.56,0,0,1.96,70.68,0,0,0.98,0,1.96,0.98,0,0,34.36,0.98,1.96,2.94,244.43,0,0,7.85,0,0,0,0,0,0,0,18.65,0,0,7.85,0.98,0
 84-94,0,0,0,5.31,4.25,0,60.54,1.06,1.06,0,65.85,0,1.06,3.19,0,5.31,0,0,3.19,19.12,0,2.12,5.31,117.89,1.06,1.06,3.19,0,3.19,0,0,0,0,0,6.37,2.12,1.06,1.06,3.19,1.06
 96-106,0,0,1.09,3.28,2.19,0,64.48,2.19,0,2.19,79.78,1.09,0,6.56,0,1.09,2.19,3.28,0,26.23,1.09,2.19,0,113.66,1.09,0,5.46,0,4.37,0,0,0,0,0,7.65,4.37,1.09,10.93,0,1.09
108-118,0,0,0,1.53,4.6,0.77,48.26,0,1.53,0.77,66.64,0.77,0,3.83,0.77,3.83,0,1.53,2.3,15.32,0.77,2.3,0,116.43,0,2.3,5.36,0,3.06,0,0,0,0.77,0,6.13,2.3,1.53,1.53,1.53,0
120,0,0,1.96,7.84,5.88,0,56.83,0,0,0,92.11,1.96,0,3.92,0,1.96,0,0,1.96,19.6,0,0,0,150.9,0,3.92,1.96,0,0,0,0,1.96,0,0,1.96,0,0,7.84,0,1.96
