stage,epidermis,eye,fin.epithelia,glial,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,3.28,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0.81,1.61,7.25,0,0,0.81,0,0,0.81
 48-58,0,2.3,0,0,0,0,1.15,0.57,12.05,0.57,0,1.72,0,0,0
 60-70,0,1.96,0,0,0,0,0,0,14.72,0,0,0.98,0,0,0.98
 72-82,0,0,0,0.98,0,0,0,0,5.89,0,0,0.98,0,0,0
 84-94,0,4.25,1.06,0,0,1.06,2.12,0,13.81,0,0,0,0,1.06,0
 96-106,0,2.19,0,0,0,0,2.19,1.09,6.56,1.09,0,0,0,0,0
108-118,0.77,0,0,0,0.77,0,1.53,0,7.66,0,0,0.77,1.53,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0
