stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.41,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,2,4,0,0,1,0,0,0,0,1,0,0,0,1008,0,0,0,0,0,0,2,0,1,5,205,0,0,0
 24-34,0,0,4.1,0,5.75,0,0,4.93,0,0.82,0.82,0,4.1,0,0,6.57,937.42,0,0,0,0,0,0.82,0,0,0,0,255.29,0,0.82,0
 36-46,0,0,1.61,0,8.06,0,0.81,73.32,0,0,0.81,0.81,4.83,0,0,17.72,688.04,0,0.81,0,0,0,0.81,2.42,0,0,0,171.61,0,0.81,0
 48-58,0,0,0,0.57,9.75,0.57,0,162.39,0.57,0,0,0,2.87,0.57,0.57,9.75,249.03,0,0,0.57,0,0,0,0.57,0,0,0,66.56,0,0,0
 60-70,0,0,0,0,5.89,0,0,110.91,0.98,0,0,0,0.98,0,0,1.96,85.39,0,0,0,0,0,0.98,0,0,0,0,16.69,0,0,0
 72-82,0,0,0,0,9.82,0,0,138.41,0,0,0,0,1.96,0,0,1.96,70.68,0,0,0,0,0,0,0,0,0,0,5.89,0.98,0,0
 84-94,0,0,2.12,0,11.68,0,0,77.53,0,0,0,0,0,0,1.06,2.12,16.99,1.06,0,0,0,0,0,0,0,0,0,4.25,0,0,1.06
 96-106,0,0,0,0,13.11,0,1.09,104.91,0,0,0,0,2.19,1.09,0,3.28,26.23,0,0,0,0,1.09,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0,0,2.3,0,0,64.34,0.77,0,0,0,0.77,0,0,3.83,25.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,84.27,1.96,0,0,0,0,0,0,0,25.48,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
