stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1,0,1,0,0,35,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,280.73,0,9.03,1.64,0,0.82,0,89.47,0,0,0,0,0
 36-46,0,0,0,0,0,25.78,0,0,0,4.03,0,0,0,0,0,0,0,3.22,0,0,1.61,995,0,8.86,0.81,0,0.81,0,202.22,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,107.88,0,0.57,0.57,14.35,0,0,0,0,0,0,0.57,4.02,0,0,0,826.28,0,6.31,0,0,0.57,0,161.81,0,0,0,0,2.3
 60-70,0,0,0.98,1.96,0,201.21,0,0,0,13.74,0.98,0,0,0,0,0,0,1.96,0,0,0,921.65,0.98,6.87,0,0,0.98,0.98,140.36,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,302.35,0.98,0,0.98,19.63,0,0,0,0.98,0,0.98,0,12.76,0,0,0.98,1104.37,0,10.8,2.94,0,0,0,108.96,0.98,0,0.98,0,0
 84-94,0,0,2.12,3.19,1.06,177.36,0,1.06,1.06,16.99,0,1.06,0,1.06,1.06,0,1.06,9.56,0,2.12,2.12,471.54,0,2.12,0,0,2.12,0,38.23,0,0,1.06,0,0
 96-106,0,0,2.19,3.28,2.19,130.05,0,1.09,0,18.58,1.09,0,0,0,0,0,0,8.74,0,0,1.09,395.61,0,12.02,2.19,0,3.28,0,19.67,0,0,0,1.09,0
108-118,0,0,0,3.83,0,98.04,0.77,0,0.77,9.96,1.53,0,0,0.77,0,0,0,3.06,0,0,0,521.62,0.77,8.43,0.77,0,0.77,0,9.96,1.53,0,0,0,0.77
120,0,0,0,7.84,0,58.79,0,1.96,1.96,7.84,0,0,1.96,0,0,0,0,11.76,0,0,0,484.07,1.96,3.92,0,0,3.92,0,7.84,0,1.96,0,0,0
