stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,6.29,0,22.03,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,9,8,0,5,0,0,0,3,2,0,2,4,0,0,0,1,0,11,0,0,7,42,2,2,3,0,0,0,4,1,7,15,0,3,0,0
 24-34,0,0,0,0.82,5.75,0,0,5.75,0,0,0,2.46,0,0,7.39,4.93,0,0.82,0,0.82,0.82,29.55,0,0,13.95,41.86,0,0,0,0,0,0,0,0,0.82,9.85,0,32.83,0,2.46
 36-46,0,0,0,0,4.03,0,0,4.83,1.61,0,0,2.42,0,0,3.22,12.89,0,0.81,0.81,0,0,29,0,0.81,11.28,29.81,0,0,0,0,0.81,0,0,0,0,12.09,0,29.81,0,0.81
 48-58,0,0,0,0,0,0.57,0,1.72,0.57,0,1.15,5.74,0.57,0,9.18,3.44,0,0,0,0,0,41.89,0,1.15,6.89,22.38,0,0,0,0,0,0,0,0,0,4.59,0.57,29.84,0,0.57
 60-70,0,0,0,0,1.96,0.98,0,7.85,0,0,0.98,12.76,0,0,11.78,10.8,0,0.98,0.98,0,0,75.58,0,6.87,10.8,16.69,0.98,0,0,0.98,0,0,0,0.98,0,2.94,0,35.33,0,2.94
 72-82,0,0,1.96,0,2.94,0,0,3.93,0,0,0.98,23.56,3.93,0,16.69,10.8,0,1.96,0,2.94,0,132.52,0,15.71,14.72,22.58,0,0.98,0,2.94,0.98,0,0,0,0,2.94,2.94,72.64,0.98,0
 84-94,0,0,0,0,3.19,0,0,6.37,1.06,0,2.12,16.99,10.62,0,6.37,12.74,1.06,2.12,0,3.19,0,71.16,0,8.5,12.74,18.05,0,3.19,0,1.06,1.06,0,0,0,0,2.12,6.37,60.54,0,1.06
 96-106,0,0,0,0,3.28,0,1.09,7.65,0,3.28,3.28,13.11,8.74,0,14.21,16.39,1.09,8.74,0,5.46,0,93.98,1.09,14.21,8.74,18.58,0,2.19,0,3.28,4.37,0,0,2.19,0,4.37,3.28,69.94,3.28,4.37
108-118,0,0,0.77,0.77,4.6,0,0.77,6.13,0,3.06,2.3,12.26,6.13,0,9.96,16.85,0.77,10.72,0.77,6.13,1.53,91.15,0,7.66,9.96,18.38,0.77,0,0,3.83,0,0,0,0.77,0,1.53,0.77,62.04,0.77,3.06
120,0,0,0,0,1.96,0,0,11.76,0,1.96,1.96,7.84,3.92,0,11.76,13.72,0,11.76,0,5.88,1.96,101.91,1.96,5.88,9.8,13.72,0,0,0,0,3.92,0,0,0,0,3.92,3.92,45.08,1.96,0
