stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,5.26,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,22.03,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,1,1,0,0,1,0,10,0,0,0
 24-34,0,0,0,0.82,0,4.93,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,0,0,114.1,0,3.28,0,0,0,0,0,44.33,0,0,0
 36-46,0,0,0,0,0,29.81,0,0,0,3.22,0,0,0,0.81,0,0,0,2.42,0,1.61,333.55,0,1.61,1.61,0,0,0,0,70.09,0,0,0
 48-58,0,0,0,1.15,0,125.09,0,0.57,0,11.48,0,0,0,0,0,0,0,1.15,0,0,371.25,0,1.72,0.57,0,1.15,0,0,98.12,0,0,0.57
 60-70,0,0,0.98,1.96,0,355.31,0.98,0,0,23.56,0,0,0,1.96,0.98,0.98,0.98,5.89,0,0,432.85,0,0.98,0,0,0,0,0,104.04,0.98,0,0
 72-82,0,0,0.98,0.98,0,269.96,0,0,0,33.38,0,0,0.98,0,0,0,0,2.94,0,0,323.95,0,4.91,0,0,0,0,0,40.25,0,0,0
 84-94,0,0,0,1.06,0,163.55,0,0,1.06,25.49,1.06,0,0,2.12,0,1.06,0,1.06,0,0,152.93,0,2.12,2.12,0,0,0,0,26.55,0,1.06,0
 96-106,0,0,0,1.09,1.09,83.06,0,1.09,1.09,10.93,0,0,1.09,2.19,0,0,1.09,4.37,2.19,1.09,112.56,0,2.19,3.28,0,0,0,0,5.46,2.19,0,1.09
108-118,0,0,0.77,3.06,0,75.06,0,0,0,28.34,0,0,0,0.77,0,0.77,0,3.06,0,0,119.49,0,1.53,0,0,0.77,0,0,3.83,0,0,0
120,0,0,1.96,0,0,48.99,0,0,1.96,23.52,0,0,0,0,0,1.96,0,5.88,0,0,101.91,0,0,0,0,0,0,1.96,5.88,0,0,0
