stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.51,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0.82,0,0.82,3.28
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0,0.81,0,1.61,0,1.61,0
 48-58,0,0,0,9.75,0,0,0,0,0,0.57,0,9.18,0,0.57,0,1.15,1.15
 60-70,0,0,0,15.7,0,0.98,0,0,0,0,0,4.91,0,0.98,0,0,0
 72-82,0,0,0,14.72,0,0,0,0.98,0,1.96,0,5.89,0,0,0,0.98,1.96
 84-94,0,0,1.06,11.68,1.06,0,0,0,0,0,0,2.12,0,1.06,0,1.06,1.06
 96-106,0,0,0,7.65,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,3.06,0.77,0,1.53,0,0.77,0,0,2.3,0,0,0,0,0.77
120,0,0,3.92,9.8,0,0,0,0,0,0,0,5.88,0,0,0,0,0
