stage,epidermis,erythrocytes,eye,fast_muscle,glial,immune,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,3,7,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,1.64,2.46,0,0,0.82,0,4.1,0,0,0.82,0
 36-46,0.81,0,0,0,0,0,0.81,0,0,0,2.42,0,1.61,0.81,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0,1.72,0,5.74,1.15,0.57,0,0
 60-70,0.98,0,0.98,0.98,0,0,9.82,0.98,0,0,1.96,0,13.74,0,0,0,0
 72-82,0,0,1.96,0,0.98,0,18.65,0,0.98,0.98,5.89,0,34.36,0,0,0,0
 84-94,0,0,0,0,0,1.06,25.49,0,0,1.06,1.06,0,45.67,0,0,0,0
 96-106,0,1.09,1.09,0,1.09,1.09,45.9,2.19,0,0,3.28,1.09,52.46,0,0,0,2.19
108-118,0,0,0,0,1.53,0.77,26.04,0,0,1.53,4.6,0,37.53,0,0,0,0
120,0,1.96,0,1.96,3.92,1.96,25.48,0,0,0,9.8,0,43.12,0,0,0,0
