stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,5,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,2,0,0,0,2,0
 24-34,0,0,0,1.64,0,0,0,4.1,0,0.82,0.82,0,1.64,0,1.64,8.21,0,0,0,0,0,0,4.93,0,0,11.49,0
 36-46,0,0,0,0.81,0,0.81,0,21.75,0.81,0,0,0,2.42,0.81,0.81,15.31,0,0,0,1.61,0,0,2.42,0,0,8.86,0.81
 48-58,0,0,0,0.57,0.57,1.15,0,24.67,2.87,0.57,0,0,0.57,0.57,4.59,9.75,0.57,0,0,0,0,0,1.15,0,0.57,21.8,0
 60-70,0,0,0,0,0,0.98,0.98,27.48,0.98,0,0,0,3.93,0,0.98,7.85,0,0,0,0,0,0,0.98,0,0,32.39,0
 72-82,0,0,0,0,0.98,5.89,0,38.28,4.91,0,2.94,0.98,13.74,0.98,0,10.8,0,0,2.94,0,0,0,2.94,0.98,0,85.4,2.94
 84-94,0,1.06,0,0,1.06,1.06,0,24.43,5.31,0,1.06,0,4.25,1.06,4.25,5.31,0,0,1.06,0,0,0,0,0,1.06,55.23,3.19
 96-106,0,1.09,0,0,0,5.46,1.09,18.58,0,1.09,1.09,1.09,4.37,0,0,4.37,0,0,5.46,0,1.09,0,1.09,0,1.09,69.94,1.09
108-118,0,2.3,0,1.53,0,3.06,0,13.79,0.77,0,0,0,3.83,3.06,2.3,1.53,0,0,3.83,0,0,0,0.77,0,0.77,58.98,1.53
120,0,0,0,0,0,0,0,15.68,0,0,7.84,0,13.72,0,1.96,7.84,0,0,0,0,0,0,0,0,0,60.75,1.96
