stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,545.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,5.26,0,0,0,28.92,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,223.44,13.14,0,0,86.75,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,28.32,0,0,0,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,399.67,31.47,0,0,72.38,0,9.44,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,1,40,1578,88,0,213,0,7,0,25,18,4,6,28,28,0,2,1,6,246,10,0,200,1006,305,1,42,34,0,84,47,23,11,91,327,0,0,83,0,3
 24-34,0,0,4.93,8.21,471.17,7.39,0,62.39,0,32.01,3.28,15.6,11.49,3.28,11.49,50.89,51.71,0,6.57,1.64,4.1,107.53,15.6,2.46,46.79,362.82,120.67,7.39,13.13,0,0,142.83,0,12.31,1.64,8.21,94.4,0,0,189.62,0,1.64
 36-46,0,0,0.81,1.61,320.66,3.22,0,74.12,0,60.43,12.09,27.39,8.06,1.61,26.59,68.48,24.17,7.25,9.67,6.45,4.03,187.72,10.47,5.64,51.56,352.88,116.82,13.7,16.92,0,0,169.19,0,17.72,0.81,0.81,89.43,0,0.81,144.21,0,0
 48-58,0,0,0.57,1.15,196.82,1.15,0,96.97,1.72,63.12,6.31,21.23,5.74,4.02,14.92,67.71,13.2,3.44,7.46,4.02,4.02,109.02,12.05,8.03,17.21,223.78,28.12,6.31,13.2,0,0,96.97,0,8.61,1.72,0,35,0,1.72,74.02,0,1.72
 60-70,0,0,1.96,1.96,278.75,0.98,0,333.72,3.93,96.19,20.61,63.8,20.61,1.96,22.58,89.32,27.48,11.78,11.78,6.87,5.89,376.9,10.8,11.78,24.54,361.2,43.19,13.74,17.67,0,5.89,95.21,0,20.61,0.98,0,33.37,0.98,7.85,75.58,5.89,3.93
 72-82,0,0,6.87,0.98,256.21,3.93,1.96,395.61,0.98,71.66,6.87,61.84,30.43,3.93,16.69,108.96,60.86,14.72,10.8,4.91,0,380.88,20.61,17.67,22.58,442.73,14.72,18.65,26.5,0,2.94,63.81,0,4.91,0,0,13.74,5.89,6.87,108.96,25.52,1.96
 84-94,1.06,0,8.5,5.31,611.73,6.37,3.19,292.06,1.06,192.23,20.18,53.1,83.9,9.56,23.36,172.05,93.46,9.56,8.5,5.31,3.19,330.29,25.49,16.99,22.3,272.94,24.43,23.36,32.92,0,5.31,231.52,0,23.36,0,0,19.12,20.18,12.74,116.82,20.18,3.19
 96-106,0,0,12.02,9.84,1010.88,7.65,8.74,322.39,4.37,262.28,26.23,75.41,110.38,0,43.71,238.24,145.35,12.02,20.76,9.84,3.28,461.18,31.69,26.23,34.97,342.06,42.62,45.9,54.64,0,15.3,275.4,0,14.21,0,0,18.58,37.16,13.11,215.29,50.27,9.84
108-118,0.77,0,6.89,10.72,1099.16,9.96,13.79,288,2.3,391.41,30.64,73.53,182.3,0,22.21,231.32,144.77,27.57,19.92,24.51,13.79,410.56,41.36,22.21,32.17,398.3,68.17,40.6,61.28,0,10.72,273.45,0,31.4,1.53,0,9.19,54.38,16.09,152.43,29.87,13.79
120,0,0,0,1.96,725.12,11.76,9.8,203.82,1.96,250.85,21.56,39.2,88.19,0,17.64,217.54,62.71,15.68,11.76,3.92,7.84,288.09,17.64,19.6,27.44,382.16,58.79,35.28,33.32,0,11.76,113.67,0,19.6,1.96,0,9.8,29.4,11.76,123.47,19.6,1.96
