stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,36.78,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,10.51,0,0,18.4,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,178.75,2.63,0,0,68.35,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,15.73,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,169.94,6.29,0,0,53.5,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,3,10,4,11,0,0,5,0,0,0,0,1,0,0,0,11,0,0,6,101,3,0,2,2,0,10,1,0,20,43,0,0,0,0
 24-34,0,0,0.82,1.64,2.46,0.82,12.31,0,0.82,4.93,0,0,0.82,0,0.82,0,0,0,19.7,0,0.82,7.39,106.71,0,0.82,1.64,0,7.39,0,0,0,2.46,28.73,0,6.57,0,0.82
 36-46,0,0,0,0,3.22,0,20.95,0,0,6.45,0,0,0,0,0,0,0,0,16.92,0.81,0.81,1.61,116.02,0.81,2.42,0.81,0,3.22,0,0,0,0,25.78,0,0.81,0,0.81
 48-58,0,0,0,0,1.15,0,17.79,0.57,0.57,10.9,0,0,0,0,0,0.57,0.57,0,13.77,0,0.57,2.87,70,0,1.15,0.57,0,1.15,0,0,0,0,12.05,0,2.3,0,0
 60-70,0.98,0,0,0,0.98,0,19.63,0,0,6.87,0,0,0,0.98,0,0,0,0,9.82,1.96,0.98,0.98,84.41,0.98,1.96,0.98,0,0,0,0,0,0,11.78,0,1.96,0,0
 72-82,0,0,0.98,0,1.96,0,35.34,0,0,10.8,0.98,0,0,0.98,0.98,0,1.96,0,24.54,2.94,0,0,99.15,0,0.98,0.98,0,1.96,0,0,0.98,0,5.89,0,0,1.96,0
 84-94,0,0,0,0,7.43,2.12,22.3,1.06,1.06,4.25,1.06,0,0,2.12,0,0,0,0,8.5,0,1.06,0,46.73,1.06,2.12,1.06,0,3.19,0,0,0,0,7.43,1.06,3.19,1.06,0
 96-106,0,0,0,0,2.19,1.09,17.49,0,0,5.46,1.09,0,1.09,0,0,0,0,0,14.21,0,0,3.28,32.79,0,2.19,0,0,10.93,0,0,0,0,3.28,0,2.19,0,0
108-118,0,0,0,0,3.83,0.77,16.09,0,0,8.43,2.3,0,1.53,0.77,0.77,0,0,0.77,7.66,0,0.77,3.06,40.6,0,0,0,0,0.77,0,0,0,0,0.77,0.77,0.77,0,0.77
120,0,0,0,0,3.92,0,17.64,0,0,5.88,0,0,0,0,0,0,0,0,13.72,0,0,1.96,23.52,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
