stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,spinal.cord
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,15.77,7.89,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,34.62,15.73,6.29,0
 14-21,0,0,2,1,0,0,0,0,4,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,1.96,0,0,0.98
 72-82,0,0,0,0,0.98,0,0.98,0,0.98,0,0,0
 84-94,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,1.53,0,0,0,0,0.77,0,0,0
