stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,943.96,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,5.26,0,10.51,0,0,28.92,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,194.52,36.8,0,0,113.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,44.06,0,3.15,40.91,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,295.82,25.18,0,0,129.03,3.15,3.15,0,9.44,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,4,2,4,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,20,0,0,1,0,1,0,8,1,5,8,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,2.46,0,0,0.82,0,0,0.82,0,0,4.93,0,0,0.82,29.55,0,0,3.28,0,0,0,0,0,0.82,6.57,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,8.86,0,0,1.61,0,0,0,0.81,0,1.61,0,0,5.64,0,0,2.42,39.48,0.81,0,0.81,0,1.61,0,0,0,0,11.28,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,10.9,0.57,0.57,2.87,0,0.57,0,0,0,0,0,1.15,4.59,0,0.57,0.57,38.44,0,0,0,0,0.57,0,0,0,0,4.02,0,0,0.57,0,1.15
 60-70,0,0,0,0,0.98,0.98,11.78,0,0,2.94,0,0,0,0,0,0,0,0,4.91,0,0,0.98,32.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,22.58,0.98,0.98,6.87,0,0,0,0,1.96,0.98,0,0,13.74,0,0,1.96,41.23,0,0,2.94,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0
 84-94,0,0,1.06,0,1.06,1.06,6.37,0,1.06,4.25,0,0,0,0,0,1.06,0,0,6.37,0,0,0,21.24,0,1.06,2.12,0,2.12,0,0,0,0,2.12,0,0,0,2.12,0
 96-106,0,0,0,0,3.28,1.09,5.46,0,2.19,1.09,0,0,0,0,0,1.09,0,0,14.21,0,0,2.19,24.04,0,1.09,0,0,1.09,0,0,0,0,3.28,0,0,3.28,0,1.09
108-118,0,0,0,0,3.06,0.77,3.83,0.77,0,3.83,0,0,0,0,0,0,0.77,0,6.13,1.53,0,3.06,29.11,0.77,0,0,0,2.3,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,3.92,1.96,7.84,0,1.96,5.88,0,0,0,0,0,0,0,0,5.88,0,0,0,23.52,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
