stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,5.26,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,44.06,0,0,0,40.91,0,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,1,0,1,17,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,23,35,10,0,0,0,0,0,33,21,0,74,21,0,0,0,0
 24-34,0,0,0,3.28,5.75,0,6.57,0,0,0.82,0.82,0,0,0,0,0,0.82,0,10.67,0,1.64,45.97,2.46,1.64,0.82,0,0,0,0,26.27,0,4.1,10.67,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,3.22,0,0,3.22,2.42,0,0,0,2.42,0,0.81,0,11.28,0,0.81,33.03,4.83,0,0,0,0,0,0,16.92,0,0,10.47,0.81,0.81,0,0
 48-58,0,0,0,0,0.57,0,13.2,0.57,0,0.57,1.15,0,0,0,0,0,0,0,11.48,0.57,2.87,29.26,2.3,0.57,0,0,0.57,0,0,9.18,0.57,0,6.89,0,0,0,1.15
 60-70,0,0,0,0,0,0.98,12.76,0,0,1.96,0,0,0.98,0,4.91,0,0,0,18.65,3.93,0,30.43,0,0,0.98,0,0,0.98,0,8.83,0,0,1.96,0,0,1.96,0
 72-82,0,0,0,0,0.98,0,14.72,0,0,13.74,0,0,0,0,3.93,0,0,0,30.43,0.98,4.91,26.5,0.98,0,0,0,0,0.98,0,11.78,0,0,0.98,0.98,1.96,6.87,0
 84-94,0,0,0,0,1.06,0,10.62,0,1.06,9.56,0,0,0,0,3.19,0,2.12,1.06,20.18,1.06,0,7.43,1.06,0,0,0,0,0,0,12.74,1.06,0,0,0,1.06,7.43,0
 96-106,0,0,0,0,3.28,0,12.02,0,0,19.67,1.09,0,0,1.09,3.28,0,0,0,31.69,0,4.37,7.65,3.28,0,0,0,2.19,2.19,0,22.95,0,0,1.09,0,1.09,4.37,0
108-118,0,0,0.77,0,0,0,8.43,0,0,12.26,0,0,0,0,6.13,0.77,0,0,22.98,0.77,2.3,15.32,5.36,0,0,0,0,0,0,9.96,0,0,0,0.77,0.77,3.06,0
120,0,0,0,0,3.92,0,21.56,0,1.96,5.88,0,0,0,0,0,0,0,0,17.64,1.96,3.92,11.76,3.92,0,1.96,0,1.96,0,0,3.92,0,0,0,0,0,0,0
