stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,3,0,5,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,198,0,1,6,0,1,0,0,82,0,0,0,0
 24-34,0,0,5.75,4.1,0,11.49,0,0,0,5.75,0,0,0,0,0,0,0,0,1.64,0,0,0.82,737.13,0,9.03,9.03,0,0.82,0,0,125.59,0,0,1.64,0
 36-46,0,0,2.42,3.22,0,14.5,0,0.81,0,41.09,0,0.81,0.81,0,0,0,0,0.81,13.7,0,0,0.81,1195.61,0,12.09,5.64,0,1.61,0,0,131.32,0,0,0,1.61
 48-58,0,0,0.57,2.3,0,49.35,0,0,0,57.38,0,0,0.57,0,0,0.57,0,0,21.23,0,0,1.72,1106.3,0.57,6.89,7.46,0,1.15,0,0,113.04,0,0.57,0,0
 60-70,0,0,2.94,2.94,0,99.13,0.98,0,0,130.54,0,0,0,0,0.98,0,0,0,37.3,1.96,0.98,1.96,1587.12,0,7.85,5.89,0,0.98,0,0,118.76,0,0,2.94,1.96
 72-82,0,0,1.96,4.91,2.94,109.95,0,0.98,0.98,107.98,0.98,0.98,0,0.98,0,0.98,0,0,54.97,0,0,1.96,1140.69,0,5.89,8.83,0,0,0,0,60.86,0.98,0,2.94,0
 84-94,0,0,1.06,9.56,1.06,112.58,1.06,0,0,86.03,2.12,0,0,0,1.06,2.12,0,3.19,31.86,0,0,1.06,528.89,0,4.25,11.68,0,7.43,0,0,31.86,4.25,0,3.19,0
 96-106,0,0,4.37,5.46,1.09,96.17,0,1.09,1.09,74.31,2.19,0,0,1.09,0,1.09,2.19,0,26.23,0,0,0,399.98,0,9.84,12.02,0,4.37,1.09,1.09,15.3,3.28,0,0,1.09
108-118,0,0,0.77,3.83,0.77,66.64,0,0,0.77,62.04,0.77,0,1.53,0,0.77,0.77,0,0,14.55,0,0.77,1.53,471.07,0,4.6,6.13,0,3.06,0,1.53,13.02,2.3,0,2.3,0
120,0,0,0,5.88,0,74.47,0,0,0,70.55,0,0,7.84,0,0,0,0,0,15.68,0,0,1.96,521.3,0,5.88,1.96,0,5.88,0,0,19.6,1.96,0,0,1.96
