stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,somites,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0.98,0,0,13.74,0.98,0.98,0,0,0,0,0
 84-94,0,1.06,0,0,2.12,0,0,1.06,32.92,1.06,1.06,0,0,0,0,0
 96-106,0,0,3.28,0,3.28,1.09,0,0,49.18,0,2.19,0,0,1.09,0,0
108-118,0,0,1.53,0.77,1.53,1.53,0.77,0,59.75,0,4.6,0.77,0,0.77,0,0.77
120,0,0,0,0,1.96,1.96,0,0,21.56,0,1.96,0,0,0,0,0
