stage,endoderm,epidermis,eye,fin.mesenchyme,glial,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,0,0,2,0,0,0,0,0,4,6,0,0,0,0,0,2,1,2,0,0,0
 24-34,0.82,0.82,1.64,0,0,0,0.82,1.64,13.13,2.46,0,0,0,0,0,0,0.82,6.57,0,0,0.82
 36-46,0,0,3.22,0,0,0,3.22,0.81,6.45,0.81,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,1.15,0,1.72,0.57,1.72,0,7.46,0,0,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,1.96,2.94,0,1.96,0,1.96,0.98,8.83,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0.98,0,0,1.96,0,2.94,0,0.98,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,3.19,0,1.06,0,1.06,0,4.25,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,2.19,0,2.19,0,1.09,0,1.09,0,0,0,0,1.09,1.09,0,0,1.09,1.09,0,0
108-118,0,0.77,0.77,0,0.77,0,2.3,0,2.3,0,0,0.77,0,0.77,0,0,0,0,0,0,0
120,0,1.96,0,1.96,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
