stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,0,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,123.55,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,3.15,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,273.79,9.44,0,0,62.94,0,0,3.15,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,12,10,4,0,1,0,7,0,0,0,0,0,0,0,3,0,0,2,128,2,0,0,4,0,2,0,3,1,0,8,49,0,0,1
 24-34,0,0,0,0,5.75,0,12.31,0,2.46,0.82,4.1,0,0,0,0.82,0,1.64,0,12.31,0.82,0,3.28,257.75,0.82,3.28,2.46,0,0,4.93,0,0.82,0,0,0.82,56.64,0,0,9.85
 36-46,0,0,0,0,0.81,0.81,69.29,0,1.61,0,6.45,0,0,0,0,0.81,0,0,12.89,0,0,4.03,447.15,0,3.22,1.61,0,0,4.03,0,0,1.61,0.81,0,100.71,0,0,3.22
 48-58,0,0,0.57,0,1.15,0.57,72.3,0,0,0.57,10.33,0.57,0,0.57,0.57,0,0,0.57,17.79,0,0,1.72,265.1,1.15,1.15,0.57,0,0,3.44,0,0,1.15,0,0,59.68,0,0,1.72
 60-70,0,0,0,0,1.96,0,103.06,0,1.96,0,16.69,0,0,0,0.98,0,0,0,25.52,0,0.98,0.98,207.1,0,0.98,0.98,0,0,4.91,0,0,1.96,0,0,29.45,0,0,0.98
 72-82,0,0,0.98,0,3.93,1.96,74.61,0,0,1.96,16.69,1.96,0,0,1.96,0.98,0.98,0,17.67,0,1.96,5.89,157.07,0,0,1.96,0,0,1.96,0,0,0.98,0,0,12.76,0,1.96,0.98
 84-94,0,0,0,0,4.25,0,57.35,0,1.06,2.12,15.93,1.06,0,0,3.19,0,3.19,0,28.68,0,1.06,0,84.96,0,1.06,2.12,0,0,8.5,0,0,0,0,0,9.56,1.06,1.06,3.19
 96-106,0,0,1.09,0,7.65,0,40.44,0,0,0,8.74,1.09,0,1.09,2.19,1.09,2.19,0,20.76,0,1.09,3.28,63.39,0,1.09,3.28,0,0,10.93,0,0,0,0,0,6.56,0,0,2.19
108-118,0,0,0,0,5.36,2.3,24.51,0,1.53,0,13.02,0.77,0,0,3.06,1.53,0,0,10.72,1.53,0.77,1.53,88.09,0.77,3.06,0.77,0,2.3,5.36,0,0,0.77,0,0,4.6,0,0,2.3
120,0,0,0,0,7.84,3.92,21.56,1.96,0,0,7.84,1.96,0,0,0,3.92,0,0,9.8,0,0,3.92,62.71,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,1.96
