stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,380.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,0,0,15.77,0,0,36.8,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,273.39,18.4,0,0,107.78,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,3.15,50.35,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,330.43,22.03,0,0,141.61,0,3.15,0,3.15,12.59,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,1,11,3,6,0,0,3,0,1,0,0,0,0,0,0,3,0,0,6,69,0,0,0,0,0,2,0,13,0,0,7,33,0,0,2,0,0
 24-34,0,0,0,0,8.21,0,19.7,0,0,7.39,0.82,0,0.82,0,0.82,0.82,0,1.64,10.67,0,0,4.93,218.35,0.82,2.46,4.93,0,0,2.46,0,0.82,1.64,0,4.1,47.61,0,0,6.57,0,0
 36-46,0,0,0.81,0,2.42,0,41.09,0,0,10.47,0,0,0.81,0,0,0,0.81,0,20.14,0.81,0.81,7.25,380.28,1.61,6.45,0,0,0,4.03,0,0,0,0,0,71.7,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0.57,61.97,0.57,0.57,14.92,0,0,1.72,0,0,0,0,0,26.97,0,1.72,4.02,210.59,0.57,0.57,0.57,0,0,1.72,0,0,0.57,0,0,54.51,0,0,1.72,0,1.15
 60-70,0,0,0.98,0,5.89,0,141.34,0,0,25.52,0,0,0,0,0,0.98,0.98,0.98,46.13,0.98,2.94,6.87,318.01,0.98,1.96,0.98,0,0,3.93,0,0,0.98,0,0,46.13,0,0,1.96,0.98,0.98
 72-82,0,0,0,0.98,5.89,6.87,81.48,0,0.98,21.6,0.98,0,0.98,0,0,0.98,0.98,0.98,54.97,0,0.98,2.94,195.35,0,3.93,1.96,0,0.98,3.93,0,0,0,0.98,0,17.67,2.94,2.94,3.93,0,0.98
 84-94,0,0,0,0,7.43,5.31,61.6,3.19,3.19,16.99,2.12,0,0,2.12,0,1.06,1.06,1.06,32.92,0,2.12,5.31,123.2,2.12,0,2.12,0,1.06,9.56,0,0,0,0,0,9.56,0,2.12,5.31,3.19,0
 96-106,0,0,1.09,0,7.65,6.56,30.6,1.09,1.09,15.3,0,0,1.09,2.19,1.09,0,2.19,0,27.32,1.09,2.19,2.19,76.5,1.09,6.56,2.19,0,0,12.02,0,0,1.09,0,0,4.37,1.09,0,2.19,0,0
108-118,0,0,0,0,7.66,0,29.11,3.06,0.77,13.02,0.77,0,0.77,3.06,0.77,4.6,1.53,0,22.98,0,1.53,1.53,85.79,0,3.83,3.06,0,1.53,1.53,0,0,0.77,0,0,3.83,0,0.77,0.77,0.77,0
120,0,0,0,0,3.92,1.96,39.2,1.96,1.96,13.72,0,0,0,3.92,0,0,0,0,27.44,0,0,7.84,78.39,0,3.92,7.84,0,0,1.96,0,0,0,0,0,3.92,0,0,3.92,0,1.96
