stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,13.18,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,42.91,269.7,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,5.26,0,0,0,0,0,0,28.92,5.26,0,0,23.66,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,3,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0.82,0,36.12,0,0,0,0,0,0,0,1.64,10.67,0,0
 36-46,0,0,0,0,0.81,1.61,0.81,0.81,0,0,0.81,0,55.59,0,0.81,0,0,0,0,0,1.61,12.89,0,0
 48-58,0,0,0,0,0,8.61,0,2.3,0.57,0,0.57,0,49.92,0,0.57,0,0,0.57,0,0,0.57,10.9,0,1.15
 60-70,0,0,0.98,0,0,4.91,0,0.98,0,0,0.98,0,91.28,0,0.98,0,0,0.98,0,0,0,18.65,0,0
 72-82,0,0,1.96,0,0,19.63,0.98,2.94,0,0,0,0,84.42,0,0,0.98,0,0,0,0.98,0.98,10.8,0,0
 84-94,0,0,0,0,1.06,14.87,0,3.19,0,0,0,0,50.98,0,1.06,0,0,1.06,0,0,0,6.37,1.06,0
 96-106,0,0,0,0,1.09,13.11,0,4.37,0,0,0,0,33.88,0,0,0,0,0,0,1.09,0,2.19,0,0
108-118,0,0,0.77,0,0,9.96,0.77,1.53,0.77,0,0.77,0,38.3,0,0,0,0,0,0,0,1.53,1.53,0.77,0
120,0,0,1.96,0,3.92,5.88,0,1.96,0,0,5.88,1.96,64.67,0,0,0,0,0,0,0,0,1.96,0,0
