stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,251.32,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,36.8,0,0,0,7.89,0,0,0,0,89.38,0,0,0,0,0,0,0,0,0,0,0,113.03,15.77,0,0,47.32,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,0,3.15,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,144.76,15.73,0,0,50.35,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,42,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,7,39,2,1,2,2,0,6,10,1,0,5,26,0,0,3,0,0
 24-34,0,0,0,0.82,13.95,0,0,5.75,0.82,0.82,3.28,0.82,0,4.1,0,0.82,0,2.46,0,0.82,26.27,0,0,15.6,124.77,0.82,2.46,0.82,0,0,18.06,0,2.46,0,2.46,34.48,0,0,13.95,0,0
 36-46,0,0,0,0,7.25,0,0,19.34,2.42,3.22,14.5,0.81,0,4.03,0,0,0,3.22,0,0.81,31.42,0.81,1.61,11.28,128.1,0,3.22,3.22,0,0,29,0,2.42,0.81,0,25.78,0,0,15.31,0,1.61
 48-58,0,0.57,0,0,8.03,0.57,0,37.87,1.15,1.15,29.26,2.3,1.15,5.16,0.57,1.15,0.57,4.59,1.72,0,67.14,0,1.15,12.05,108.45,0,3.44,1.72,0,0,15.49,0,0,0.57,0,29.84,0,0.57,24.1,0,1.15
 60-70,0,0,0,0,15.7,0,0,51.04,4.91,0,58.89,1.96,0.98,3.93,5.89,0.98,0,4.91,0,1.96,148.21,0,3.93,13.74,121.71,0.98,6.87,0.98,0,1.96,26.5,0,0,0,0,25.52,0.98,1.96,21.59,0.98,0
 72-82,0,0,0.98,0.98,16.69,6.87,0,44.17,4.91,4.91,76.57,5.89,0.98,5.89,3.93,0.98,0.98,10.8,0,0.98,288.61,0,2.94,9.82,103.07,0,5.89,0.98,0,0.98,21.6,0,0.98,0,0,16.69,0.98,4.91,43.19,3.93,0.98
 84-94,0,0,1.06,0,27.61,5.31,1.06,42.48,5.31,2.12,33.99,10.62,1.06,6.37,2.12,3.19,0,7.43,0,1.06,178.42,1.06,6.37,10.62,64.78,0,8.5,2.12,0,4.25,41.42,0,8.5,0,0,7.43,0,4.25,39.3,2.12,1.06
 96-106,0,0,0,0,37.16,8.74,1.09,34.97,6.56,4.37,31.69,5.46,0,10.93,7.65,4.37,2.19,13.11,3.28,0,183.6,1.09,7.65,16.39,51.36,0,13.11,8.74,0,4.37,56.83,0,3.28,0,0,6.56,1.09,5.46,61.2,4.37,4.37
108-118,0,0,0,0,32.17,0,0.77,25.28,8.43,3.06,19.15,13.02,0,6.89,6.89,3.06,3.06,5.36,3.06,3.06,178.47,1.53,5.36,2.3,55.15,0,10.72,6.13,0,3.83,39.06,0,4.6,0,0,3.06,2.3,9.19,43.66,0.77,0
120,0,0,0,0,25.48,0,0,25.48,9.8,1.96,21.56,9.8,0,0,5.88,1.96,1.96,1.96,3.92,0,143.06,0,3.92,9.8,58.79,1.96,15.68,1.96,0,3.92,33.32,0,3.92,0,0,1.96,0,7.84,27.44,1.96,0
