stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,2.63,0,0,15.77,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,165.61,15.77,0,0,63.09,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,15.73,0,6.29,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,0,0,0,62.94,0,0,0,6.29,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,7,3,5,0,0,0,2,0,0,0,0,0,0,0,4,0,0,4,76,0,0,3,2,0,1,0,11,0,8,24,0,0,0,0
 24-34,0,0,0,1.64,0,11.49,0,0,0,1.64,0,0,0,0,0,0,0,6.57,0,0,4.1,117.38,0,0.82,1.64,0,0,0.82,0,0,0,4.1,27.09,0,0.82,0,0
 36-46,0,0,0,1.61,0,16.11,0,0,0,7.25,0,0,0,0,0,0.81,0,9.67,0,0,4.03,95.87,0,0,0.81,0,0,2.42,0,0,0,0,25.78,0,0.81,0,0.81
 48-58,0,0,0,1.15,0,29.84,0.57,0,0,7.46,0,0,0,0,0,0,0.57,18.36,0.57,0,2.3,55.66,0,0.57,0.57,0,0,1.15,0,0,0,0,13.77,0,1.72,0,0
 60-70,0,0,0,0.98,0,31.41,0,0,0,7.85,0,0.98,0,0,0,0.98,0,13.74,0,0,2.94,39.26,0,1.96,0.98,0,0,0,0,0,0,0,8.83,0,0.98,0,1.96
 72-82,0,0,0,0,0,13.74,0,0,0,6.87,0,0,0,0.98,0,1.96,0,22.58,0,1.96,2.94,33.38,0,0.98,0,0,0,0.98,0,0,0,0,1.96,0.98,0.98,0,0.98
 84-94,0,0,0,0,0,9.56,0,2.12,1.06,9.56,0,0,2.12,1.06,0,1.06,0,19.12,0,1.06,2.12,15.93,0,1.06,2.12,0,0,3.19,0,0,0,0,2.12,0,0,0,1.06
 96-106,0,0,0,3.28,0,12.02,0,0,0,7.65,0,1.09,0,0,2.19,0,0,10.93,0,0,3.28,6.56,0,2.19,1.09,0,1.09,3.28,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0,0,0,9.19,0,0.77,1.53,6.13,0,0,0,0,0,0.77,0,10.72,0,0,1.53,16.85,0,0.77,1.53,0,0,1.53,0,0,0,0,1.53,0,1.53,0,0.77
120,0,0,0,3.92,0,5.88,0,0,1.96,1.96,0,0,1.96,0,0,0,0,3.92,0,0,1.96,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
