stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,4664.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0
  5-6,367.78,4394.95,0,12.26,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,91.94,12.26,0,0,55.17,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,60.46,49.95,0,81.49,0,0,181.38,0,0,0,0,0,97.26,0,0,0,0,0,0,0,0,0,0,1666.6,39.43,0,0,580.95,5.26,21.03,0,2.63,0,0,0,0,0,0,0
 10-12,0,34.62,0,34.62,0,0,97.56,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,767.86,15.73,0,0,251.76,6.29,0,0,28.32,0,0,0,0,0,0,0
 14-21,0,0,1,0,7,0,2,0,0,0,4,1,0,0,1,0,0,0,0,3,0,0,6,98,4,1,0,6,0,1,9,0,0,7,30,0,0,0,0
 24-34,0,0,0,0,3.28,0,21.34,0,0,0,1.64,0,0,0,0,0,0,0,0.82,19.7,0,0,8.21,179.77,0,1.64,2.46,0,4.1,0,0,0,0.82,1.64,30.37,0,1.64,0,0
 36-46,0,0,0,0,0,0,45.12,0,0,0,2.42,0,0,0,0,0,0,0,0,15.31,0,0,2.42,178.05,1.61,0.81,0.81,0,0.81,0,0,0,0,0,36.26,0,2.42,0,0
 48-58,0,0,0,0,1.15,0,54.51,0,0.57,0,6.89,0,0,0,0,0,0,0,0,16.07,0.57,0,1.72,122.22,0,0,0.57,0,0,0,0,0,0,0,14.92,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,47.11,0,0,0,8.83,0,0,0.98,0.98,0,0,0,0,14.72,0,0,1.96,110.91,0,0,0.98,0,0.98,0,0,0,0,0,6.87,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,46.14,0.98,0.98,0,4.91,0,0,0.98,0,0,0.98,0.98,0,20.61,0,0.98,0.98,95.22,0.98,2.94,0.98,0,0,0,0,0,0,0,8.83,0,0.98,0,0
 84-94,0,0,0,0,4.25,2.12,18.05,0,0,0,4.25,1.06,0,0,1.06,0,1.06,0,0,11.68,0,1.06,1.06,39.3,0,0,1.06,0,3.19,0,0,0,0,0,1.06,0,3.19,1.06,0
 96-106,0,0,0,0,1.09,0,15.3,0,0,0,10.93,3.28,0,0,1.09,1.09,0,2.19,0,10.93,0,2.19,1.09,25.14,0,0,1.09,0,2.19,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,3.83,0,13.02,0,0,0.77,3.06,0,0,0,0,0,0,0,0,7.66,0,0,1.53,36,0,0.77,1.53,0,1.53,0,0,0,0,0,0.77,0.77,2.3,1.53,0
120,0,0,0,0,5.88,0,25.48,0,0,1.96,3.92,0,0,0,1.96,0,0,0,0,11.76,0,0,0,43.12,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0
