stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,31,0,0,0,0,0,2,6,0,5,18,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,20.52,4.1,0,1.64,218.35,4.93,5.75,0,0,0,4.1,0,0,0,77.98,0,0,0,0,7.39
 36-46,0,0,0,0,0.81,0,0,8.06,0,0,1.61,0.81,0,0,0,0,0.81,1.61,0.81,0,20.14,4.83,0,8.06,580.08,4.83,7.25,0,0,0,4.83,0,0,0,75.73,0,0,0,0,8.06
 48-58,0,0,0,0,3.44,0,0,106.15,0,1.15,1.15,10.9,0,0,0,1.15,0,0,0.57,0,19.51,9.18,0,4.59,788.41,4.02,7.46,0,0,0,1.72,0,1.15,0,108.45,0,0,0.57,0,10.33
 60-70,0,0,0,0.98,3.93,0,0,398.5,0,0,0.98,17.67,0,0,0,2.94,0,4.91,0.98,0,15.7,11.78,0.98,5.89,1182.73,1.96,8.83,0,0,0,0.98,0,0.98,0,125.63,0,0.98,0.98,0,4.91
 72-82,0,0,0,0,5.89,2.94,0,553.66,0,0,1.96,30.43,0.98,0,0,0.98,0,3.93,0.98,0,16.69,36.32,0.98,5.89,1017,5.89,14.72,0,0,0,1.96,0,0,0,63.81,0,0,0.98,0,5.89
 84-94,0,0,0,0,9.56,1.06,0,318.61,1.06,1.06,2.12,29.74,0,0,0,1.06,0,10.62,0,0,36.11,16.99,1.06,5.31,510.84,6.37,9.56,1.06,0,0,3.19,0,0,0,44.61,0,2.12,1.06,1.06,6.37
 96-106,0,0,1.09,0,4.37,5.46,1.09,308.18,0,1.09,3.28,26.23,3.28,0,1.09,2.19,0,17.49,2.19,3.28,24.04,21.86,0,4.37,467.74,4.37,15.3,2.19,0,1.09,3.28,0,1.09,0,26.23,0,2.19,2.19,1.09,12.02
108-118,0,0,0.77,1.53,5.36,3.83,0,226.73,0,0,0,22.21,2.3,0,0.77,0.77,0,19.92,0,0.77,38.3,23.74,0.77,0,461.88,5.36,13.02,1.53,0,0,0.77,0,0,0,15.32,0,0.77,1.53,0.77,6.89
120,0,0,0,0,5.88,7.84,0,188.14,0,3.92,0,19.6,0,0,3.92,0,0,13.72,1.96,0,13.72,17.64,0,1.96,487.99,9.8,11.76,1.96,0,0,0,0,0,0,17.64,1.96,3.92,1.96,0,1.96
