stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,0,0,0,2,0,0,0,30,0,37,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,2.46,1.64,13.13,3.28,0,1.64,0,0,0,51.71,0,65.67,3.28,0,0,0,0,0,0,2.46,0,0,2.46,0
 36-46,0,3.22,0.81,46.73,29,0,1.61,0,0,0.81,31.42,0,23.36,4.83,0,0.81,0,0,0,0,0,0.81,0,0,0
 48-58,0,2.3,2.3,95.83,60.82,0.57,0.57,0,0.57,0,32.71,1.15,13.77,8.03,0,7.46,0,0,0,0,0,2.3,0,0,0
 60-70,0,1.96,3.93,77.54,49.08,4.91,0,0,0,0,45.15,0,4.91,22.58,0,5.89,0,0,0,0,0,1.96,1.96,0,1.96
 72-82,0,1.96,3.93,72.64,78.53,6.87,0,0,0,0,77.55,1.96,8.83,14.72,1.96,7.85,0,0.98,0.98,0,0,1.96,1.96,0,0.98
 84-94,0,6.37,7.43,122.13,44.61,6.37,0,1.06,0,0,48.85,2.12,2.12,7.43,0,13.81,0,0,1.06,0,0,2.12,3.19,0,3.19
 96-106,0,5.46,4.37,50.27,27.32,3.28,0,0,0,0,43.71,3.28,2.19,7.65,0,3.28,0,0,0,1.09,0,0,0,0,3.28
108-118,0,4.6,5.36,65.87,24.51,1.53,0,0.77,1.53,0,54.38,2.3,1.53,9.19,0,0.77,0,1.53,0,0,0,0.77,0.77,0.77,0.77
120,0,7.84,3.92,23.52,35.28,0,0,1.96,0,0,66.63,0,5.88,7.84,0,1.96,0,1.96,0,0,0,1.96,0,0,1.96
