stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,67.43,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,26.29,5.26,0,0,0,0,0,0
 10-12,6.29,6.29,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,28.32,9.44,0,0,0,3.15,0,0
 14-21,0,0,7,2,0,0,0,10,1,0,0,7,0,22,0,0,5,1,130,0,4,44,10,37,0
 24-34,0,0,0.82,0,0,0.82,0,4.1,0,0,0,3.28,0,6.57,0,0.82,0,0,30.37,0,0,16.42,0,7.39,0
 36-46,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0.81,6.45,0,0.81,0.81,0,17.72,0,0,6.45,0,5.64,0.81
 48-58,0,0,0.57,0,0,0.57,0,2.3,0,0,0,0,0.57,1.72,0,1.72,0,0,4.02,0,0,1.15,0,5.16,0
 60-70,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,1.96,0,0,2.94,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,4.25,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,1.09,0,0,0,0,0,0,2.19,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,0,0.77,0.77,1.53,0,0,0.77,0,0,0,0,3.83,0,0,1.53,0,0,0.77,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96,0
