stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,355.52,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,97.26,5.26,0,44.69,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,3.15,0,0,0,0,50.35,3.15,0,22.03,0,0,0,0,0,0,0,0
 14-21,1,0,0,10,3,2,1,0,1,0,6,5,40,0,0,0,0,0,3,0,6,10,0,0
 24-34,0,0,0,2.46,0,4.1,0,0,0,0.82,4.1,0,20.52,0,0.82,0,0,12.31,0,0.82,0,6.57,1.64,0
 36-46,0,0,0,0.81,0,7.25,0,0,0,0,0,0.81,13.7,0,0.81,0,0,2.42,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,5.74,0,0,0,0,1.72,0,9.75,0,0,0,0,1.15,0,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,8.83,0,0,0,0,0.98,0,3.93,0,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,12.76,0.98,0,0,0,3.93,0,6.87,0,2.94,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,1.06,1.06,0,0,0,2.12,0,1.06,0,0,0,0,2.12,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,3.28,0,4.37,0,2.19,0,1.09,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0,0,0.77,0,0,0.77,2.3,0,0.77,0.77,0.77,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,0
