stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,25,9,0,0,3,0,0,1,1,0,1,0,0,3,4,14,3,0,0,0,1,15,0,3,38,4,0,0,1,0
 24-34,0,4.93,0,2.46,0.82,5.75,0,1.64,0,0,0,0.82,0.82,0,13.13,4.1,28.73,0.82,0,0.82,0,0.82,0,0,0,9.03,7.39,0,0,4.93,0
 36-46,0,0,0,5.64,0,0.81,0,6.45,0,0,0,0,0,0,8.06,0,36.26,0,1.61,0.81,0,0.81,0,0,0.81,0,2.42,0,0,0.81,0
 48-58,0,0.57,0,12.05,0.57,2.3,0.57,2.87,0,0,0,0,0,0.57,17.21,1.15,45.33,0,0,0.57,0,0,0,0,0,0,5.74,0,0,0,0
 60-70,0,1.96,0,26.5,0.98,1.96,1.96,4.91,0,0,0,0,0,0,15.7,0.98,72.63,0,0,0,0,0,0,0,0,0,3.93,0,0,1.96,0
 72-82,2.94,4.91,0,34.36,0.98,2.94,3.93,5.89,0,0,0,0,0,0.98,26.5,0,90.31,0,0,0.98,1.96,0,0,0.98,0,0,3.93,0,0.98,0,0.98
 84-94,2.12,5.31,0,30.8,0,2.12,1.06,8.5,1.06,0,0,0,0,1.06,20.18,0,52.04,0,0,0,1.06,1.06,0,0,0,0,3.19,1.06,1.06,2.12,0
 96-106,1.09,2.19,1.09,17.49,0,4.37,1.09,4.37,0,0,0,0,1.09,0,17.49,1.09,36.06,0,1.09,1.09,2.19,1.09,0,1.09,0,0,0,0,0,2.19,1.09
108-118,3.83,4.6,0,11.49,0,9.19,1.53,2.3,1.53,0,0.77,0,1.53,0,11.49,0.77,56.68,0,0,0,1.53,0,0,0,0,0,2.3,0,0,0.77,0
120,1.96,3.92,0,13.72,1.96,1.96,1.96,1.96,0,0,0,1.96,0,0,5.88,0,54.87,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0
