stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,5,6,0,0,0,0,1,1,52,0,1,0,0,0
 24-34,0,0,7.39,0.82,4.1,0,0,1.64,0,0,0,0.82,0,0.82,0,0,5.75,0,0,0.82,3.28,0,0,0,7.39,0,0.82,0,0,0,0.82,0,45.97,0,1.64,0,0,0
 36-46,0,0,7.25,0,4.03,0,0,0,0,0.81,0,0,0,0,0,0,8.06,0,0,0,0,0.81,0,0,5.64,0,0.81,0,0,0,0,0,24.17,0,0.81,0,0,0
 48-58,0,0,4.02,0,5.16,0,0,5.16,0,1.15,0,0,0,0,0,0,12.62,0,0,0.57,1.15,5.74,0,0,7.46,0,0.57,0,0,0,0,0,18.94,0,1.72,0,0.57,0
 60-70,0,0,2.94,0,13.74,0,0,35.33,0.98,1.96,0,1.96,0,0,0,0,17.67,0,0.98,0.98,0.98,2.94,0,0,6.87,0,0,0.98,0,0,2.94,0,24.54,0,0,0,0,0
 72-82,0,0,6.87,0,17.67,0.98,0,198.3,0,1.96,0.98,6.87,2.94,0,0,0,53.99,0.98,0,0,4.91,2.94,0,0.98,20.61,0,0.98,0,0,0,0.98,0,30.43,0,1.96,0,0.98,0.98
 84-94,0,0,5.31,0,44.61,0,0,151.87,0,5.31,0,9.56,7.43,0,0,0,87.09,0,0,2.12,6.37,4.25,0,0,19.12,0,0,0,0,0,2.12,0,59.47,0,0,0,1.06,0
 96-106,0,0,5.46,0,66.66,1.09,1.09,281.95,0,1.09,1.09,10.93,8.74,0,1.09,0,140.98,0,0,2.19,3.28,7.65,0,0,37.16,0,1.09,1.09,0,1.09,1.09,0,61.2,1.09,2.19,1.09,1.09,0
108-118,0,0,6.13,0,77.36,3.06,0,224.43,0,8.43,0.77,8.43,9.96,0,0,1.53,106.47,0.77,0,0,4.6,5.36,0,0.77,22.21,0,1.53,0,0,0,0.77,0,68.94,0,1.53,0,0,0
120,0,0,3.92,0,74.47,3.92,0,266.53,0,5.88,0,11.76,11.76,0,0,0,60.75,1.96,1.96,0,3.92,1.96,1.96,0,33.32,0,0,0,0,0,1.96,0,50.95,0,1.96,0,0,0
