stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,13,1,0,1,0,0,6,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,0,0,45.97,0,1.64,0,1.64,0,20.52,0,0,0
 36-46,0,0,0,0,5.64,0,0,1.61,0,0,0,0.81,0,0.81,164.36,0,2.42,0,0,0,24.98,0.81,0,0
 48-58,0,0,0,0,17.79,0,1.72,4.59,0,0,0.57,3.44,0,0.57,188.78,0,0,0,0.57,0,36.72,0,0,0
 60-70,0,0,0,0,50.06,0,0.98,3.93,0,0,0,5.89,0,0,259.12,0,0,0,0,0,30.43,0,0,0
 72-82,0,0,1.96,0,41.23,0,0,4.91,0,0,0.98,3.93,0,0,155.1,0,1.96,0,0.98,0,13.74,0,0,0
 84-94,0,0,2.12,0,20.18,0,0,0,0,1.06,0,2.12,1.06,0,67.97,0,1.06,0,0,0,4.25,0,0,0
 96-106,0,0,0,1.09,21.86,0,0,3.28,0,0,0,1.09,0,0,63.39,0,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0,0.77,0,12.26,0.77,0,1.53,0.77,0,0,1.53,0,0,69.7,0,0,0,0.77,0,2.3,0,0,0
120,0,0,3.92,0,13.72,0,0,0,0,0,0,1.96,0,0,54.87,0,0,0,0,0,0,0,0,1.96
