stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,4,4,1,0,0,1,2,0,0,0,0,0,19,0,0,1,9,0,0,0,0,0,0,1,8,0,0,0
 24-34,0,0,0,0,0,4.1,0.82,0,0.82,0,0,0,0,0,0,4.1,0,0,0,34.48,0,0.82,0,0,0,0.82,0,21.34,0,0,0.82
 36-46,0,0,0,1.61,0,3.22,0,0,0.81,0,0,0,0,0,0,4.03,0,0,0.81,74.93,0,0,0,0,0,0,0,16.92,0,0,1.61
 48-58,0,0,0,1.15,0,22.95,0,0.57,1.72,0,0,0,0,0,0,3.44,0,0,1.15,147.47,0.57,0,0,0,0,0,0,18.36,0,0,2.3
 60-70,0,0,0,0,0,30.43,0.98,0,0.98,0,0,0,0,0,0,4.91,0.98,0,0,330.77,0,0,0,0,0,0,0,21.59,0,0.98,4.91
 72-82,0,0,0,1.96,0.98,55.95,0.98,1.96,11.78,0,0,0,0,0,0,16.69,0.98,0,0,422.11,0,0,0,0,0,0,0,30.43,0,2.94,5.89
 84-94,0,1.06,0,3.19,0,42.48,2.12,0,5.31,0,0,0,0,0,0,15.93,1.06,0,1.06,189.04,0,0,0,0,0,2.12,0,16.99,0,0,4.25
 96-106,0,0,0,10.93,2.19,34.97,0,1.09,14.21,0,0,0,1.09,0,0,13.11,1.09,0,1.09,192.34,0,0,0,0,0,3.28,0,13.11,1.09,0,4.37
108-118,0,0,0,0.77,0.77,32.17,0,0,6.13,0,0,0.77,0.77,0.77,0,12.26,0,3.06,0,265.79,0,0,0.77,0,2.3,0,0,7.66,0,0,3.83
120,0,0,0,5.88,0,21.56,0,0,5.88,0,0,1.96,1.96,0,1.96,7.84,0,0,1.96,286.13,0,0,0,0,9.8,0,0,15.68,0,0,3.92
