stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,1,0
 24-34,0,0,0.82,0,0.82,0,0,14.78,0,0,0.82,0,4.1,0
 36-46,0,0,0,0,0,0,0,41.09,1.61,0,0,0,5.64,0
 48-58,0,0,3.44,0,0,0.57,0,62.54,0,0,0,0,4.02,0
 60-70,0,0,24.54,0,0.98,1.96,0.98,103.06,0,0,0,0,12.76,0
 72-82,0,0,50.06,0.98,2.94,0,0,94.24,0,0,0,0,4.91,0
 84-94,0,0,25.49,0,2.12,0,0,36.11,1.06,0,0,0,4.25,1.06
 96-106,0,0,20.76,0,1.09,0,0,38.25,0,0,0,0,3.28,0
108-118,0,0.77,13.79,0,1.53,3.06,0,46.72,0,0,0,0,1.53,0
120,0,0,13.72,0,0,0,0,25.48,0,0,0,0,0,0
