stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,2,2,0,0,0
 24-34,0,0,0,0,0,11.49,0,0.82,0,0,0,0,0,0,0.82,12.31,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0.81,0,6.45,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,10.9,0,0,0,0.57,0,0,0,0,0.57,17.21,0,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,0,162.93,0,0.98,0,0,0,0,0,1.96,0,18.65,0,0,0,0.98,0,0.98,0,1.96,0.98,0,0
 72-82,0,0,1.96,0,0,443.71,4.91,4.91,0,0,0,0,0,9.82,0,13.74,0,0.98,0,0,0,3.93,0,4.91,0,0.98,0
 84-94,0,0,2.12,0,0,403.57,4.25,12.74,0,0,0,0,0,6.37,0,2.12,0,2.12,0,2.12,0,5.31,0,1.06,1.06,0,0
 96-106,0,0,3.28,0,0,365.01,4.37,6.56,0,0,1.09,0,3.28,3.28,0,15.3,0,6.56,0,1.09,0,6.56,0,1.09,0,1.09,0
108-118,0,0,0.77,0.77,0,246.64,1.53,4.6,0,0,0,0.77,0,6.89,0,3.83,0,5.36,0,1.53,0,5.36,0,0,1.53,0,0.77
120,0,0,3.92,0,1.96,264.57,1.96,0,3.92,0,0,0,0,3.92,1.96,9.8,3.92,5.88,0,3.92,0,3.92,0,0,0,0,0
