stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,3,9,0,0,0,0,0,0,3,0,3,11,4,0,0,0,0,0
 24-34,0,0,2.46,4.1,1.64,2.46,0,2.46,4.1,0,0.82,2.46,0,0,0,0,0.82,0,30.37,0,0,18.88,67.31,0.82,3.28,1.64,0,0,0.82,0,0,0.82,4.1,35.3,0,0,10.67,0,0
 36-46,0,0,0,3.22,0,1.61,0.81,0,8.86,0.81,0.81,0.81,0,0,0,0,0.81,0,49.15,0.81,0,12.89,165.16,0,2.42,0.81,0,0,0.81,0,0,2.42,0.81,43.51,0,0,15.31,0,0
 48-58,0,0,0,3.44,0.57,10.9,1.72,1.72,12.62,1.72,0,1.72,1.72,0,0,0.57,0,0.57,46.48,1.15,1.15,9.75,218.62,0.57,3.44,2.3,0,0,2.87,0,1.15,0,0,53.36,0,0,10.33,0,0.57
 60-70,0,0,0,2.94,1.96,18.65,1.96,0.98,10.8,1.96,0.98,0.98,0.98,0,0,0.98,0,0,52.02,0.98,4.91,13.74,390.65,2.94,5.89,4.91,0,0,0,0,1.96,0,0,66.74,0,0.98,3.93,0,0
 72-82,0,0.98,0,4.91,4.91,70.68,0,0,21.6,7.85,1.96,0,5.89,0.98,0,0.98,0.98,0,83.44,0.98,4.91,11.78,511.45,0,4.91,10.8,0,0,0.98,0,2.94,0,0,64.79,0.98,0.98,11.78,2.94,1.96
 84-94,0,0,0,6.37,2.12,56.29,1.06,3.19,13.81,7.43,4.25,1.06,11.68,1.06,0,2.12,0,1.06,49.92,3.19,7.43,7.43,275.07,3.19,6.37,16.99,0,1.06,3.19,0,4.25,3.19,0,28.68,0,3.19,11.68,3.19,0
 96-106,0,1.09,0,3.28,5.46,51.36,3.28,3.28,8.74,9.84,2.19,3.28,6.56,0,0,3.28,0,0,43.71,1.09,1.09,5.46,277.58,1.09,12.02,18.58,0,4.37,2.19,0,0,1.09,0,16.39,0,0,15.3,2.19,0
108-118,0,0,0,4.6,3.83,53.62,3.83,0,3.83,9.19,2.3,0.77,10.72,0.77,0.77,3.06,5.36,0,32.17,1.53,2.3,4.6,279.58,1.53,1.53,15.32,0,0.77,2.3,0,3.83,4.6,0,13.02,0,3.06,10.72,5.36,0.77
120,0,0,0,11.76,5.88,70.55,1.96,1.96,9.8,9.8,13.72,1.96,19.6,0,0,3.92,0,0,50.95,1.96,3.92,5.88,540.9,0,3.92,23.52,0,1.96,1.96,0,7.84,1.96,0,31.36,0,1.96,7.84,5.88,0
