stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,6,1,9,24,2,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0.82,2.46,0.82,5.75,0,0,0,0,0,0,0.82,2.46,1.64,0,0.82
 36-46,0,0,0,4.03,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0.81,0,0,0,0,0.81,0,0
 48-58,0,0,0,6.31,0,0.57,0,0,0,0,0,0.57,0,6.31,0,0,0,0.57,0,0,0,0,1.15,0,0
 60-70,0,0,0,17.67,0.98,0,0,0,0,0,0,0.98,0,6.87,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,17.67,0,1.96,0,0,0,0,0,0,0.98,6.87,0,1.96,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,14.87,1.06,2.12,0,0,1.06,0,0,2.12,0,4.25,0,1.06,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,15.3,1.09,2.19,0,1.09,0,1.09,0,1.09,0,4.37,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,3.06,0,1.53,0,0,0,0,0,1.53,0.77,6.89,0.77,3.06,0,0,0,0,0,0,0,0,0
120,0,0,1.96,11.76,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
