stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,2,9,3,2,0,0,0,1,1,0,0,0,0,0,0,1,4,0,6,23,3,0,1,9,1,0,13,18,81,208,15,0,0,6,0,1
 24-34,0,0,0.82,13.13,0.82,4.93,0,0,0.82,0,0,0,1.64,0,0,1.64,0,0.82,4.1,1.64,4.93,14.78,0.82,0,0,0,0,0,0,10.67,10.67,57.46,0.82,0,0,30.37,0,3.28
 36-46,0,0,0,3.22,0,4.03,2.42,0,0,0,0.81,0,0,0,0,2.42,0,3.22,4.03,0.81,2.42,20.14,0,0,0,0,0.81,0,0,2.42,3.22,1.61,0.81,0,0,22.56,0,3.22
 48-58,0,0,0,4.02,0,2.87,0,0.57,0.57,0,0,0,0,0,0.57,2.87,0,0.57,4.59,0.57,2.3,5.74,0.57,0,0,0,0,0,0,1.72,0.57,0,0,0,0,18.36,0,6.31
 60-70,0,0,0,1.96,0,3.93,4.91,0.98,1.96,0.98,0,0,7.85,0,1.96,1.96,0,1.96,3.93,2.94,2.94,6.87,0,0,0.98,0,0,0,0,0.98,1.96,0,0,0,0,17.67,0,4.91
 72-82,0,0,0,11.78,0.98,3.93,0,0.98,0,9.82,0,0,6.87,0,2.94,4.91,0,0,7.85,1.96,3.93,8.83,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,17.67,0,4.91
 84-94,0,0,0,16.99,0,7.43,2.12,3.19,0,1.06,2.12,0,9.56,1.06,11.68,15.93,0,0,5.31,3.19,9.56,8.5,0,3.19,0,0,1.06,0,0,0,0,0,0,2.12,1.06,16.99,0,11.68
 96-106,0,0,0,12.02,0,9.84,1.09,2.19,0,4.37,5.46,0,14.21,0,6.56,15.3,0,1.09,10.93,1.09,3.28,18.58,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,19.67,1.09,13.11
108-118,0,0,0,17.62,0.77,9.96,4.6,0.77,1.53,3.83,1.53,0,8.43,1.53,4.6,11.49,0,0,9.96,1.53,12.26,12.26,0,1.53,0,0,0.77,0,0,0.77,3.06,0,0,1.53,0,16.85,0,29.87
120,0,0,0,9.8,0,5.88,1.96,5.88,0,5.88,1.96,0,7.84,0,0,5.88,1.96,0,3.92,0,9.8,9.8,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,9.8,0,7.84
