stage,axial,blastomeres,eye,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,26.36,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.93,0,0,4.93,0
 36-46,0,0,0,0,0,0,0,0,20.95,0,0,9.67,0
 48-58,0,0,1.15,0,0,0,0,0.57,55.66,0.57,0,8.61,0
 60-70,0,0,2.94,2.94,0,0,0,0,69.69,0,0,3.93,0
 72-82,0,0,2.94,6.87,0,0.98,0.98,0,78.53,0,0,7.85,0.98
 84-94,0,0,6.37,1.06,0,0,2.12,0,45.67,0,0,2.12,0
 96-106,0,0,2.19,1.09,0,0,2.19,0,37.16,0,0,3.28,0
108-118,0,0,2.3,1.53,0,0,0,0,35.23,0,0,3.83,0
120,0,0,7.84,1.96,0,0,1.96,0,43.12,0,0,0,0
