stage,axial,blastomeres,epidermis,eye,gut,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,28.92,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,3.15,6.29,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,3.28,0,0,0.82,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0.81,8.06,0,0,0,0,0,3.22
 48-58,0,0,0.57,1.15,0,0,0,0,5.16,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0.98,6.87,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
