stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,355.8,7379.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672.07,0,0,0,0,0,0,0,0,0
  5-6,128.72,1587.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,6.13,306.48,0,0,0,0,0,0,0,0,0
  7-9,15.77,0,0,2.63,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,84.12,7.89,0,0,23.66,55.2,34.17,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,3.15,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,53.5,0,0,0,9.44,18.88,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,5,0,1,0,0,102,3,1,0,1,4,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,2.46,0,0,1.64,0.82,1.64,2.46,4.1,0,0,0,1.64,2.46,0,13.95,0,9.03,1.64,0,211.78,0,4.93,0.82,0,4.1,0,0,2.46,0
 36-46,0,0,0,0,2.42,0,0,0,0.81,0,0,1.61,0.81,0.81,4.03,0,1.61,0,0.81,3.22,0,20.14,0,20.95,3.22,0,167.58,0.81,4.83,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,2.3,0.57,0,1.15,0,0.57,0.57,0,3.44,1.72,0.57,0,2.3,0.57,1.15,4.02,0,19.51,0,17.21,1.72,0,91.23,0.57,2.3,0,0,2.3,0,0,1.72,0
 60-70,0,0,0,0,6.87,0,0,7.85,0,0,0,1.96,3.93,0.98,6.87,0,2.94,0.98,0,5.89,0,8.83,0,28.46,3.93,0,107.97,0,2.94,0,0,0.98,0.98,0,0,0
 72-82,0,0,1.96,0,7.85,0,0,4.91,0.98,0,0,5.89,2.94,0.98,4.91,0,1.96,0.98,3.93,4.91,0,14.72,0,39.27,6.87,0,80.5,0,1.96,0,0,0.98,3.93,0,0,0.98
 84-94,0,0,0,0,14.87,0,1.06,2.12,1.06,0,1.06,8.5,8.5,4.25,6.37,0,1.06,1.06,1.06,8.5,0,5.31,0,32.92,9.56,0,258.08,0,5.31,0,0,1.06,3.19,0,0,0
 96-106,0,0,1.09,0,40.44,0,1.09,0,1.09,0,2.19,16.39,0,3.28,12.02,0,3.28,3.28,2.19,4.37,1.09,7.65,0,55.74,7.65,0,175.95,0,0,0,0,0,8.74,0,0,0
108-118,0,0,2.3,0,37.53,0,0.77,2.3,0.77,0.77,0.77,15.32,0,4.6,15.32,0.77,3.83,7.66,0.77,4.6,0,3.83,0,36.77,3.06,0,134.81,0,3.83,0,0,0.77,3.83,0.77,0.77,0
120,0,0,1.96,0,60.75,0,0,5.88,0,0,1.96,25.48,0,5.88,13.72,0,3.92,7.84,0,7.84,0,7.84,0,31.36,5.88,0,78.39,0,9.8,0,0,0,0,0,0,0
