stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,60.46,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,31.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,20,0,0,0,1,0,0,1,1,0,1,4,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,3.28,0,0,0,0,2.46,0,1.64,28.73,0,1.64,0,0,0,0,0,0,0,0,6.57,0,0.82
 36-46,0,0,0,0,0,0,2.42,0,0,0.81,0,0,0.81,0,4.83,0.81,0,30.62,0,0,0.81,0,0,0,0,0,0.81,0,5.64,0,0.81
 48-58,0,0,0,0,0.57,0,7.46,0,0,0.57,0,0,0,0,4.59,0.57,1.15,24.1,0,0,0,0,0,0,0,0,0,0,4.02,0,0
 60-70,0,0,0,0,0,0,11.78,0,0,1.96,0,0,0,0,3.93,0.98,0.98,37.3,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0.98,7.85,0.98,0.98,5.89,0,0.98,0,0,4.91,0,0,30.43,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0
 84-94,0,0,0,0,0,0,9.56,0,0,1.06,0,0,1.06,0,2.12,0,1.06,18.05,0,0,0,0,0,1.06,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,1.09,0,2.19,0,0,1.09,0,0,0,0,2.19,0,0,15.3,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0,2.3,0,0,0.77,0,0,0,0.77,0.77,0,0,14.55,0,1.53,0.77,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0
