stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0.82,0.82,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0.81,0.81,0.81,0.81,0,0,0,0,0,0,4.03,0,0.81
 48-58,0,0,0,4.59,0,0,0,0,0,0,0,0,0,6.31,0.57,0,0,0,0,0,5.16,0,0
 60-70,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0.98,50.06,0,0.98,0,0,0,0,3.93,0,0
 72-82,0,0,0.98,26.5,0.98,1.96,0.98,0.98,0,0,2.94,0,1.96,102.09,1.96,0,0,0.98,0.98,0,1.96,0,0.98
 84-94,0,0,0,19.12,0,3.19,0,1.06,0,0,2.12,0,0,49.92,0,2.12,0,0,1.06,1.06,2.12,0,0
 96-106,0,1.09,0,15.3,0,4.37,0,2.19,1.09,0,3.28,0,0,55.74,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0.77,0,13.79,0,2.3,0,1.53,0.77,0.77,3.06,0,0,73.53,0.77,2.3,0,0,0,0,0.77,0,0
120,0,0,0,25.48,0,0,0,3.92,0,0,1.96,0,0,62.71,1.96,1.96,0,0,1.96,1.96,1.96,0,0
