stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,10,0,0,0,0,0,0,16,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0,0,1.64,0,0,1.64,92.76,0.82,0.82,0,0,0,0,31.19,0,0,0,0,0
 36-46,0,0,1.61,0,0,0,5.64,0,0,0,1.61,0,0,0,0,0,0,0,0,12.89,0,0.81,0.81,215.11,0.81,2.42,0,0,0,0,55.59,0,0,0,0,0
 48-58,0,0,0,0,0,0,44.18,0.57,0,0,4.59,0,0,0,0,0,0,0,0,8.03,0,0,1.15,241.57,0.57,0,0,0,0,0,48.77,0,0,0,0,0.57
 60-70,0,0,0.98,1.96,0,0,289.55,0,0,0.98,17.67,0,0,0,0,0,0,0,0.98,13.74,0,0.98,1.96,478.98,0.98,2.94,0,0,0,0,69.69,0,0,0,0,1.96
 72-82,0,0,3.93,3.93,2.94,0,579.18,0,0.98,1.96,68.72,0.98,0,0,1.96,0,0,0,0,22.58,0,0.98,3.93,589,0,2.94,0,0,2.94,0,38.28,0,0.98,3.93,0,0.98
 84-94,0,0,2.12,9.56,2.12,0,321.8,1.06,1.06,0,50.98,2.12,0,0,3.19,0,1.06,2.12,0,26.55,1.06,1.06,3.19,303.74,0,2.12,1.06,0,4.25,0,22.3,1.06,2.12,3.19,0,1.06
 96-106,0,0,0,3.28,1.09,0,370.48,1.09,0,0,51.36,2.19,0,1.09,1.09,0,1.09,2.19,0,29.51,0,2.19,1.09,242.61,0,5.46,0,2.19,2.19,0,13.11,1.09,1.09,1.09,0,0
108-118,0,0,0.77,6.13,2.3,0.77,272.68,1.53,0,0,45.96,2.3,0,0,1.53,0,0,1.53,0,22.21,0,0,3.06,301.79,0,1.53,2.3,3.06,1.53,0.77,10.72,1.53,0,1.53,0.77,0
120,0,0,0,5.88,1.96,0,176.38,1.96,0,0,45.08,1.96,0,0,0,0,0,0,0,17.64,0,0,7.84,319.45,0,11.76,0,0,3.92,0,5.88,0,1.96,0,0,0
