stage,epidermis,erythrocytes,eye,glial,heart,immune,iridophores,mesenchyme,mural.cell,neural,notochord,pericytes,periderm,somites,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,0.57,0,2.87,0,2.3,0,0,0,0,0,0
 60-70,0,0.98,0.98,0,0,0.98,0,2.94,0,4.91,0,0,0,0,0,0.98
 72-82,0,0.98,0,0.98,0,0.98,0,4.91,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,4.25,1.06,2.12,0,0,0,0,0,1.06
 96-106,0,1.09,1.09,0,0,4.37,0,1.09,0,1.09,0,0,0,0,0,2.19
108-118,0,0,0,0,0.77,3.06,0.77,0.77,0,0.77,0,0.77,0.77,0,0,1.53
120,1.96,0,0,0,0,9.8,0,1.96,0,0,0,0,9.8,0,0,3.92
