stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,8,0,0,1,13,1,1,0,0,0,1,0
 24-34,0,0,0.82,0,0,0,2.46,1.64,0,3.28,0,0,4.93,0,0,1.64,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,4.83,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,0,2.3,0.57,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0,0,2.94,0,0.98,0.98,0,0.98
 84-94,0,1.06,0,0,0,0,0,0,1.06,2.12,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,7.65,2.19,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,17.62,0.77,0,0,0,1.53,1.53,0,0,0.77,0,0,0.77,0,1.53
120,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
