stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,5,0,86,0,0,0,5,0,0,0,0,42,0,22,13,0,0,0,1,3,0,0,4,0,1,0,0
 24-34,4.93,0,41.86,3.28,0.82,0,1.64,0.82,4.1,0.82,0,32.01,0,8.21,31.19,0.82,0,0,0,0,0,0.82,9.03,0,4.93,0,0
 36-46,0,0,4.03,12.89,0,0,0,0.81,1.61,0,0.81,11.28,2.42,3.22,23.36,0.81,0.81,0,0,0,0,0,8.06,0,0,0,0
 48-58,0,0,8.61,12.62,0,1.15,0.57,0,1.72,0,1.72,5.16,2.87,2.3,29.26,0,0,0.57,0,0,1.72,0,4.59,0,0.57,0,0
 60-70,0,0,1.96,22.58,0,0.98,0,0,1.96,0,0,6.87,3.93,0,56.93,0,0,0,0,0,0.98,0,3.93,0.98,1.96,0.98,1.96
 72-82,0,0,21.6,26.5,0.98,0,0.98,0,7.85,0,3.93,4.91,5.89,0,61.84,0,0,0,0,0,0,0,1.96,0,0.98,1.96,0
 84-94,0,1.06,22.3,16.99,0,0,1.06,0,13.81,0,8.5,2.12,4.25,1.06,33.99,0,0,0,0,0,0,0,2.12,1.06,1.06,2.12,0
 96-106,0,1.09,17.49,6.56,2.19,1.09,0,0,13.11,0,3.28,5.46,1.09,0,18.58,0,0,1.09,0,0,0,0,0,0,4.37,3.28,1.09
108-118,0,0,14.55,10.72,0,0.77,0,0,16.09,0,6.89,2.3,3.06,0,29.11,0,0,0.77,0,0,0,0,0.77,0,6.13,1.53,0.77
120,0,0,25.48,1.96,0,1.96,0,0,15.68,0,1.96,0,1.96,0,21.56,0,0,0,0,0,1.96,0,0,0,5.88,0,0
