stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,10,1,0,0,0,1,0,1,4,0,0,0
 24-34,0,0,0,0.82,0.82,0,4.1,0,1.64,0,0,0,0,0,0,0,0.82,0.82,0,0.82,24.63,0.82,0,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,0,0,0,0,10.47,0,0,0,0,0,0,0,0,0,1.61,1.61,0.81,0,29.81,0,0,0,0,0,0.81,0,3.22,0,0,0.81
 48-58,0,0,0,0,0,0,31.56,0,1.72,0,0,0.57,0,0,0,0,0,1.72,0,0.57,21.23,0,0,0,0,0,0,0,1.72,0,0,0.57
 60-70,0,0,0,0.98,0,0,236.55,0.98,2.94,0,0,0,0.98,0,0,0,0,1.96,0,0,16.69,0,1.96,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0.98,0,0,286.65,0.98,6.87,0.98,0,0,0,0,0,0,1.96,3.93,0,0,20.61,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,254.89,0,4.25,0,0,1.06,0,1.06,0,0,0,2.12,0,1.06,9.56,0,0,0,2.12,0,0,0,2.12,0,0,0
 96-106,0,0,0,3.28,1.09,0,197.81,0,2.19,0,0,0,0,0,2.19,1.09,0,0,0,0,14.21,0,0,0,2.19,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,0.77,0.77,120.26,0,1.53,0,0,0,0,0,0,0,1.53,0.77,0,0,12.26,0,0,0,0.77,0,0,0,0,0,0.77,0.77
120,0,0,0,1.96,0,0,117.59,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0,0,0
