stage,axial,blastomeres,eye,glial,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,spinal.cord
  3-4,0,65.89,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0
 10-12,0,3.15,3.15,0,0,0,0,15.73,9.44,0
 14-21,0,0,0,0,1,0,0,2,0,3
 24-34,0,0,0.82,0,0,0,0.82,3.28,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0.81
 48-58,0,0,1.15,0,0.57,0.57,0,1.72,0,0
 60-70,0,0,0.98,0.98,0.98,0,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0
