stage,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,2,0,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,1,1,3,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0.82,0,3.28,2.46,4.93,0.82,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,0,0,0,0,6.45,0,2.42,2.42,0,0,1.61,0,0.81,0,0,0.81
 48-58,0.57,0,1.72,0.57,1.72,0.57,0,0,0,0,0,0.57,6.31,1.72,6.89,2.87,0.57,0,0,0,1.72,0,0,0
 60-70,0,0,2.94,0,0.98,0,0,0,0,0,0,1.96,7.85,0.98,6.87,1.96,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,3.93,0,0,0,0,0.98,0,0,8.83,1.96,10.8,2.94,0,0,0,0,1.96,0.98,0.98,0.98
 84-94,1.06,0,1.06,0,2.12,0,0,0,1.06,4.25,0,0,8.5,1.06,6.37,6.37,1.06,0,0,0,0,0,0,2.12
 96-106,1.09,0,5.46,0,1.09,0,1.09,0,1.09,3.28,0,1.09,7.65,1.09,4.37,7.65,3.28,0,0,0,2.19,0,0,3.28
108-118,0,0.77,2.3,0,0,0,0.77,0.77,1.53,5.36,0.77,0.77,4.6,0,5.36,5.36,0.77,0.77,0.77,0,0,0,0.77,3.06
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0,0,1.96
