stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,18.39,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,25.18,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,11,0,0,0,0,0,0,6,0,0,7,8,0,0,0
 24-34,0,0,0,3.28,0,5.75,0,2.46,0,0,0,0,0.82,0.82,0,0,0,0,0.82,9.85,0,0,4.1,37.76,0,0.82,0,0,0,2.46,0,0,0,2.46,4.93,0,5.75,0
 36-46,0,0,0,1.61,0,9.67,0,0.81,0,3.22,0,0,0,0,0,0,0,0,0.81,13.7,0,0,5.64,33.03,0,0,0.81,0,0,0,0,0.81,0,0,9.67,0,1.61,0
 48-58,0,0,0,0,0,10.9,0.57,2.3,0,2.3,1.72,0,0.57,0,0.57,0,0,0,0,23.53,1.15,1.15,1.72,9.75,0,0,0,0,0,0,0,0,0,0,5.16,0,1.15,1.15
 60-70,0,0,0,3.93,0,4.91,0,3.93,0.98,5.89,1.96,0,0.98,1.96,0.98,0,0.98,0,0,21.59,0,0,3.93,5.89,0,0,0,0,0,0,0,0,0.98,0,1.96,0,2.94,1.96
 72-82,0,0,0,4.91,5.89,2.94,0.98,0,0.98,9.82,0,0,0.98,0,0,0,0,1.96,0,23.56,0,0.98,1.96,7.85,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,4.25,4.25,2.12,0,0,1.06,7.43,0,0,1.06,1.06,0,1.06,1.06,0,0,28.68,0,2.12,0,4.25,0,0,0,0,0,2.12,0,0,0,0,0,0,4.25,1.06
 96-106,0,0,0,1.09,0,5.46,1.09,3.28,0,9.84,1.09,0,0,0,1.09,0,2.19,0,0,15.3,0,0,1.09,2.19,0,1.09,1.09,0,1.09,0,0,0,0,0,0,0,3.28,0
108-118,0,0,0,2.3,3.06,6.13,0.77,1.53,0,5.36,0,0,0,0,0,0.77,0.77,0,0,13.02,0.77,0,1.53,4.6,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0,3.83,1.53
120,0,0,0,1.96,0,1.96,0,0,0,9.8,0,0,1.96,0,0,0,0,0,0,7.84,0,1.96,1.96,3.92,0,0,1.96,0,0,1.96,0,0,0,0,0,0,5.88,1.96
