stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,15.77,0,26.29,0,0,0,34.17,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,226.07,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,56.65,0,6.29,0,28.32,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,380.78,6.29,0,0,122.73,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,1,21,110,47,0,47,0,0,0,9,14,0,4,0,1,1,0,0,76,0,137,322,8,0,12,9,0,1,39,7,1,207,179,0,0,15,0,0
 24-34,0,0,0,9.85,16.42,4.1,0,29.55,0.82,0.82,4.1,14.78,0.82,0,10.67,0,0.82,0,0.82,1.64,134.62,0,84.55,221.63,19.7,0.82,9.03,0,0,2.46,0,0.82,0,23.8,83.73,0,0,100.14,0,0.82
 36-46,0,0,0,0,4.03,0,0,18.53,0,0,10.47,7.25,0,0,5.64,0,0,0,0,0.81,128.91,0.81,40.28,82.98,16.92,0,4.03,0,0,4.03,0,0,0,0,29,0,0,88.62,0,0
 48-58,0,0,0,0,1.72,0.57,0,12.05,0,0.57,4.59,5.74,0,0,2.3,0,0,0,0,0,106.15,1.15,50.49,39.02,10.33,0,3.44,0,0,1.15,0,0,0,0,9.18,0,0,80.33,0,0
 60-70,0,0,0,0,0.98,0.98,0,12.76,0,0,0.98,3.93,0,0,1.96,0,0,0,0.98,0.98,151.15,0.98,47.11,25.52,4.91,0,3.93,0,0,1.96,0,0.98,0,0,3.93,0,0.98,52.02,0,0.98
 72-82,0,0,0.98,0,1.96,0,0,30.43,0.98,0,4.91,4.91,0.98,0,0,0,0,0.98,1.96,0,229.71,1.96,63.81,42.21,6.87,0.98,2.94,0,0.98,1.96,0,0,0,0,2.94,0,5.89,86.39,0.98,0
 84-94,1.06,0,0,0,1.06,0,0,23.36,0,0,6.37,0,1.06,0,1.06,0,0,0,1.06,0,165.68,2.12,38.23,19.12,6.37,0,4.25,0,0,0,0,2.12,0,0,3.19,0,1.06,72.22,2.12,0
 96-106,0,0,0,0,6.56,1.09,0,26.23,0,0,6.56,4.37,1.09,0,0,1.09,1.09,0,0,0,179.23,2.19,41.53,18.58,3.28,0,4.37,0,1.09,3.28,0,1.09,0,0,4.37,0,2.19,77.59,3.28,0
108-118,0,0,0,0,1.53,0,0.77,15.32,0,0.77,6.89,6.13,0,0,0,0.77,0,0,0,0.77,178.47,0.77,31.4,22.21,5.36,0,7.66,0,0,1.53,0,0,0,0,3.06,0.77,0.77,64.34,0.77,0
120,1.96,0,0,0,0,0,0,3.92,0,0,3.92,7.84,0,0,0,0,0,0,3.92,0,125.43,0,23.52,23.52,1.96,0,5.88,0,0,0,0,0,0,0,1.96,1.96,1.96,56.83,0,0
