stage,blastomeres,epidermis,eye,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,vasculature
  5-6,6.13,0,0,0,0,0,6.13,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0.81,0.81,0,0,0,0.81,0.81
 48-58,0,0,0.57,0,0,0.57,0.57,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0.98,0,0,0.98,0
 72-82,0,0.98,0,0,0,0,0,3.93,0,0,0,0,0
 84-94,0,1.06,0,1.06,0,0,0,3.19,1.06,0,0,1.06,0
 96-106,0,2.19,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0
