stage,blastomeres,epidermis,exocrine.pancreas,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,1
 24-34,0,0.82,0,2.46,0,0,0,0,4.93,0,0.82,0,0,2.46,0,0
 36-46,0,0,0,0.81,0,0,0,0,25.78,0,0.81,0,0,4.03,0,0
 48-58,0,0,0,5.74,1.72,0,0.57,0,40.74,0,0,0,0,4.02,0,0
 60-70,0,0,0,9.82,0.98,0,0,0.98,21.59,0,0.98,0,0,0.98,0,0
 72-82,0,0.98,0,4.91,0.98,0,0,0,16.69,0,0,0,0,1.96,0,0
 84-94,0,0,0,1.06,0,0,0,0,7.43,0,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,0,0,1.09,4.37,0,0,0,0,0,0,1.09
108-118,0,1.53,0.77,2.3,0,0,0.77,0,4.6,0,0,0,0,0,0,0
120,0,0,0,3.92,0,1.96,0,0,3.92,0,1.96,0,0,0,0,0
