stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,843.39,15523.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.94,0,0,0,0,0,0,0,0,0
  5-6,778.46,10843.32,12.26,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,294.22,30.65,0,0,104.2,0,147.11,0,0,0,0,0,0,0,0,0
  7-9,123.55,134.06,239.21,0,2.63,396.94,0,0,0,0,0,375.91,0,0,0,0,0,0,0,0,0,0,0,4085.02,173.5,0,0,1650.83,0,36.8,49.95,0,0,0,0,0,0,0,0
 10-12,0,110.14,226.58,0,18.88,305.26,0,0,0,0,0,147.91,0,0,0,0,0,0,0,0,0,0,3.15,2737.86,59.79,0,0,1114.03,0,3.15,37.76,9.44,103.85,0,12.59,3.15,0,0,0
 14-21,1,1,44,410,97,133,0,0,0,21,6,3,3,10,7,1,1,0,0,156,0,0,182,1926,43,9,40,50,0,96,5,242,23,1,284,619,0,7,1
 24-34,0,0,5.75,68.95,9.85,125.59,0,0.82,0.82,32.83,2.46,0,2.46,22.98,1.64,2.46,4.1,2.46,0,201.93,0,0.82,82.09,1592.46,11.49,12.31,15.6,0,0,119.84,0,1.64,2.46,0.82,11.49,485.13,0,41.04,5.75
 36-46,0,0,0,28.2,0.81,282.79,0,1.61,0,26.59,0,0,1.61,21.75,0.81,3.22,0,0.81,0,119.24,0,2.42,46.73,911.21,5.64,2.42,7.25,0,0,30.62,0.81,0,2.42,0,0,325.49,0,18.53,8.86
 48-58,0,0,0,35.58,2.87,304.12,0,1.72,1.72,16.64,0.57,0,4.59,20.08,0.57,8.61,0.57,1.72,0.57,103.86,0.57,5.74,29.84,320.18,2.3,2.3,4.59,0,0,14.92,0,0,0,0,0,107.3,0,16.07,5.74
 60-70,0,0,0,34.35,0,195.32,0.98,2.94,0.98,14.72,1.96,0,1.96,9.82,0,1.96,0.98,1.96,1.96,70.67,0,9.82,20.61,150.17,0.98,0.98,0,0,0,12.76,0,0,0,0,0,13.74,0,5.89,1.96
 72-82,0,0,0,26.5,0.98,75.59,0.98,0,1.96,26.5,2.94,0,3.93,18.65,0,2.94,0,0.98,0,101.11,1.96,7.85,17.67,107.98,0,0,2.94,0,1.96,3.93,0,0,0,0,0,4.91,0.98,18.65,0.98
 84-94,0,0,0,41.42,1.06,65.85,0,0,0,13.81,4.25,0,1.06,18.05,2.12,8.5,0,2.12,1.06,78.59,0,20.18,18.05,91.34,1.06,2.12,6.37,0,0,11.68,0,0,2.12,0,0,2.12,0,26.55,0
 96-106,0,0,0,21.86,1.09,52.46,0,0,1.09,22.95,1.09,0,6.56,27.32,1.09,4.37,0,1.09,0,56.83,0,7.65,20.76,80.87,2.19,0,3.28,0,1.09,6.56,0,0,1.09,0,0,2.19,0,18.58,1.09
108-118,0,0,0.77,15.32,3.83,47.49,0,0,0,21.45,3.83,0,0.77,22.21,0,5.36,0,0.77,1.53,47.49,0,3.83,13.79,95.75,0,0,3.83,0,0,5.36,0.77,0,0.77,0,0,0.77,1.53,18.38,0
120,0,0,0,9.8,3.92,45.08,0,1.96,0,17.64,1.96,0,0,21.56,0,5.88,1.96,0,0,33.32,1.96,1.96,13.72,54.87,1.96,0,1.96,0,0,3.92,0,0,1.96,0,0,0,0,5.88,0
