stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,2213.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1011.39,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,2.63,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,68.35,10.51,0,0,21.03,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,3.15,3.15,0,0,0,0,0,138.47,0,0,0,0,0,0,0,0,0,0,0,195.11,6.29,0,0,50.35,0,3.15,0,3.15,15.73,0,6.29,0,0,0,0,0
 14-21,0,0,7,18,419,11,3,0,1,0,1,17,28,9,0,2,0,0,0,0,110,0,0,43,189,0,1,12,6,0,18,1,5,0,11,67,0,0,11,0,0
 24-34,0.82,0,3.28,18.06,195.36,1.64,8.21,0,6.57,0.82,12.31,3.28,1.64,9.03,0,0.82,0.82,4.93,4.93,0.82,131.34,0,0,35.3,462.14,0,7.39,9.85,0,2.46,23.8,0,0,0,7.39,71.41,0,0,49.25,0,0
 36-46,0,0,0.81,1.61,81.37,0.81,18.53,0,9.67,13.7,39.48,3.22,0.81,8.86,0,2.42,0.81,6.45,8.86,0,211.09,1.61,5.64,19.34,751.69,0,7.25,12.09,0,0,8.06,0,0,1.61,0,190.14,0,0.81,33.84,0,0.81
 48-58,0.57,0.57,0,0,52.22,0,79.76,0,11.48,20.08,53.94,3.44,5.16,5.16,0,0,1.15,3.44,2.3,1.72,324.77,1.15,4.59,17.21,737.34,0,3.44,9.75,0,3.44,1.15,0,0,0,0,180.17,0,1.15,21.8,0.57,0
 60-70,0,0,0.98,0,51.04,0.98,125.63,4.91,18.65,25.52,76.56,3.93,2.94,9.82,1.96,3.93,0,2.94,3.93,0,458.37,0.98,3.93,13.74,756.75,0,2.94,11.78,0,1.96,0.98,0,0,0,0,134.47,0,5.89,14.72,1.96,2.94
 72-82,0,0,2.94,0,46.14,0,150.19,3.93,16.69,52.03,89.33,2.94,2.94,12.76,0,8.83,0,2.94,0.98,0,536.97,0,7.85,19.63,651.82,0,3.93,8.83,0,2.94,0.98,0,0,0,0,75.59,0.98,10.8,37.3,7.85,2.94
 84-94,0,0,1.06,0,60.54,2.12,116.82,2.12,22.3,25.49,54.16,12.74,3.19,2.12,1.06,4.25,2.12,5.31,1.06,1.06,355.78,1.06,9.56,11.68,313.3,0,2.12,12.74,0,1.06,6.37,0,0,0,0,44.61,3.19,7.43,28.68,4.25,5.31
 96-106,0,0,5.46,0,71.04,3.28,104.91,5.46,22.95,17.49,64.48,9.84,0,5.46,1.09,5.46,0,10.93,0,0,355.18,1.09,8.74,12.02,326.76,0,12.02,21.86,0,1.09,5.46,0,0,2.19,0,19.67,1.09,2.19,33.88,9.84,5.46
108-118,0,0,2.3,0.77,68.17,0.77,85.79,0.77,51.32,22.21,53.62,13.79,0,6.89,0,9.19,2.3,5.36,1.53,0,242.04,0,7.66,10.72,336.26,0,4.6,16.09,0,0.77,1.53,0,0,0.77,0,10.72,1.53,4.6,28.34,3.83,2.3
120,0,0,3.92,0,56.83,0,86.23,1.96,33.32,17.64,50.95,11.76,0,1.96,0,3.92,1.96,5.88,1.96,0,174.42,1.96,1.96,7.84,329.24,1.96,3.92,19.6,0,0,1.96,0,0,3.92,0,17.64,0,3.92,33.32,7.84,0
