stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,87.22,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,4.02,0,0.57,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0.98,0,819.57,0.98,0,0,3.93,0,0,0,0,0,0,0,0,4.91,0,0,0.98,15.7,0,1.96,0,1.96,0,2.94,0,0,0,0,0.98
 72-82,0,1.96,0,19.63,0.98,2106.65,0.98,0.98,2.94,57.92,0,0.98,1.96,1.96,0.98,0,0.98,0.98,20.61,0.98,0.98,1.96,123.69,0.98,0,0.98,3.93,0,1.96,0.98,1.96,0,2.94,1.96
 84-94,0,0,0,30.8,1.06,1255.33,0,2.12,2.12,54.16,2.12,0,0,1.06,2.12,1.06,2.12,0,22.3,0,0,1.06,111.51,0,0,2.12,3.19,0,9.56,0,3.19,4.25,3.19,0
 96-106,0,1.09,0,32.79,6.56,1586.81,1.09,6.56,2.19,65.57,4.37,1.09,4.37,1.09,3.28,0,2.19,0,27.32,0,2.19,6.56,132.23,1.09,2.19,1.09,8.74,1.09,2.19,1.09,2.19,6.56,4.37,4.37
108-118,0,0,0,12.26,2.3,1048.6,0.77,1.53,0.77,26.04,3.06,0,3.06,1.53,0,0,3.06,0,19.15,0,1.53,3.83,85.79,1.53,0.77,3.06,6.89,0.77,2.3,1.53,0,2.3,4.6,0
120,0,0,1.96,9.8,0,634.97,3.92,1.96,1.96,25.48,1.96,1.96,0,1.96,0,1.96,0,0,11.76,0,1.96,7.84,117.59,0,1.96,3.92,5.88,0,0,1.96,0,1.96,0,1.96
