stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pronephros,somites,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,3,1,0,0,1,2
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,13.95,2.46,0,0.82,0,4.1
 36-46,0,0,0,0,0,0,0,0,0,0,18.53,2.42,0.81,0,0,3.22
 48-58,0,0,0,0,7.46,0,0,0,0.57,0.57,24.1,0.57,0,0,0,3.44
 60-70,0,0,0,0,6.87,0,0,0,0.98,0,14.72,0.98,0,0,0,0.98
 72-82,0,0,0,0,5.89,0,0.98,0,0,0,6.87,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,0,5.31,0,0,0,0,2.12
 96-106,0,1.09,0,0,2.19,0,0,0,0,0,4.37,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0.77,0.77,0,5.36,0.77,0,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,5.88,0,0,0,0,0
